=== oger@teal_mask_ogerpon vs rule:alakazam5@alakazam5 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulealakazam5_alakazam5.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacf9-3bebdb; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 168 seat1: winner=1 turns=12 selects=132
  match 169 seat0: winner=0 turns=7 selects=91
  match 169 seat1: winner=1 turns=14 selects=171
  match 170 seat0: winner=0 turns=13 selects=159
  match 170 seat1: winner=1 turns=14 selects=152
  match 171 seat0: winner=0 turns=13 selects=160
  match 171 seat1: winner=1 turns=14 selects=186
  match 172 seat0: winner=0 turns=13 selects=168
  match 172 seat1: winner=1 turns=14 selects=186
  match 173 seat0: winner=0 turns=13 selects=137
  match 173 seat1: winner=1 turns=14 selects=185
  match 174 seat0: winner=0 turns=13 selects=184
  match 174 seat1: winner=1 turns=14 selects=165
  match 175 seat0: winner=0 turns=13 selects=187
  match 175 seat1: winner=0 turns=7 selects=88
  match 176 seat0: winner=0 turns=13 selects=170
  match 176 seat1: winner=0 turns=11 selects=175
  match 177 seat0: winner=0 turns=13 selects=187
  match 177 seat1: winner=1 turns=14 selects=206
  match 178 seat0: winner=0 turns=13 selects=108
  match 178 seat1: winner=1 turns=14 selects=146
  match 179 seat0: winner=1 turns=12 selects=175
  match 179 seat1: winner=1 turns=16 selects=184
  match 180 seat0: winner=0 turns=11 selects=152
  match 180 seat1: winner=1 turns=12 selects=169
  match 181 seat0: winner=0 turns=17 selects=199
  match 181 seat1: winner=0 turns=3 selects=41
  match 182 seat0: winner=0 turns=13 selects=151
  match 182 seat1: winner=1 turns=14 selects=147
  match 183 seat0: winner=0 turns=13 selects=171
  match 183 seat1: winner=1 turns=14 selects=170
  match 184 seat0: winner=0 turns=13 selects=158
  match 184 seat1: winner=1 turns=14 selects=167
  match 185 seat0: winner=1 turns=10 selects=166
