=== gar@cynthia_garchomp vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 196 seat0: winner=1 turns=12 selects=177
  match 196 seat1: winner=0 turns=13 selects=194
  match 197 seat0: winner=0 turns=19 selects=201
  match 197 seat1: winner=0 turns=13 selects=191
  match 198 seat0: winner=1 turns=12 selects=154
  match 198 seat1: winner=0 turns=11 selects=178
  match 199 seat0: winner=1 turns=12 selects=117
  match 199 seat1: winner=0 turns=15 selects=207

A=bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.245 [0.205, 0.289] W98/D0/L302 over 400 games
  as P0: W/D/L=(55, 0, 145)  as P1: W/D/L=(43, 0, 157)
  elapsed 99.5s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_gar_cynthia_garchomp_vs_bcall_grimmsnarl.jsonl
  [health] OK calls=65763 fallbacks=0 net_missing=0 deck=800
