=== gar@cynthia_garchomp vs rule:archaludon@archaludon_ex matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 122 seat0: winner=1 turns=12 selects=132
  match 122 seat1: winner=1 turns=15 selects=142
  match 123 seat0: winner=1 turns=14 selects=107
  match 123 seat1: winner=0 turns=14 selects=96
  match 124 seat0: winner=1 turns=14 selects=117
  match 124 seat1: winner=0 turns=12 selects=78
  match 125 seat0: winner=1 turns=2 selects=26
  match 125 seat1: winner=0 turns=12 selects=130
  match 126 seat0: winner=1 turns=14 selects=134
  match 126 seat1: winner=1 turns=13 selects=123
  match 127 seat0: winner=1 turns=18 selects=169
  match 127 seat1: winner=0 turns=16 selects=90
  match 128 seat0: winner=1 turns=16 selects=155
  match 128 seat1: winner=1 turns=29 selects=169
  match 129 seat0: winner=1 turns=16 selects=134
  match 129 seat1: winner=0 turns=8 selects=49
  match 130 seat0: winner=1 turns=10 selects=107
  match 130 seat1: winner=0 turns=14 selects=158
  match 131 seat0: winner=1 turns=14 selects=160
  match 131 seat1: winner=0 turns=14 selects=135
  match 132 seat0: winner=1 turns=14 selects=149
  match 132 seat1: winner=1 turns=19 selects=144
  match 133 seat0: winner=1 turns=16 selects=158
  match 133 seat1: winner=1 turns=15 selects=154
  match 134 seat0: winner=1 turns=14 selects=109
  match 134 seat1: winner=0 turns=16 selects=136
  match 135 seat0: winner=1 turns=18 selects=128
  match 135 seat1: winner=0 turns=16 selects=160
  match 136 seat0: winner=1 turns=16 selects=156
  match 136 seat1: winner=0 turns=30 selects=191
  match 137 seat0: winner=1 turns=14 selects=160
  match 137 seat1: winner=1 turns=21 selects=184
  match 138 seat0: winner=0 turns=15 selects=133
  match 138 seat1: winner=0 turns=16 selects=163
  match 139 seat0: winner=1 turns=14 selects=125
  match 139 seat1: winner=1 turns=17 selects=158
  match 140 seat0: winner=0 turns=15 selects=117
  match 140 seat1: winner=1 turns=13 selects=122
  match 141 seat0: winner=1 turns=16 selects=162
  match 141 seat1: winner=0 turns=12 selects=155
  match 142 seat0: winner=1 turns=20 selects=152
  match 142 seat1: winner=1 turns=17 selects=126
  match 143 seat0: winner=1 turns=16 selects=90
  match 143 seat1: winner=0 turns=10 selects=103
  match 144 seat0: winner=1 turns=12 selects=124
  match 144 seat1: winner=0 turns=16 selects=168
  match 145 seat0: winner=1 turns=14 selects=147
  match 145 seat1: winner=0 turns=20 selects=168
  match 146 seat0: winner=0 turns=15 selects=123
  match 146 seat1: winner=1 turns=13 selects=132
  match 147 seat0: winner=0 turns=17 selects=167
  match 147 seat1: winner=0 turns=14 selects=157
  match 148 seat0: winner=1 turns=16 selects=161
  match 148 seat1: winner=1 turns=15 selects=105
  match 149 seat0: winner=0 turns=13 selects=138
  match 149 seat1: winner=1 turns=7 selects=60
  match 150 seat0: winner=0 turns=15 selects=166
  match 150 seat1: winner=0 turns=14 selects=119
  match 151 seat0: winner=1 turns=14 selects=145
  match 151 seat1: winner=1 turns=17 selects=147
  match 152 seat0: winner=1 turns=2 selects=20
  match 152 seat1: winner=0 turns=12 selects=134
  match 153 seat0: winner=0 turns=25 selects=171
  match 153 seat1: winner=1 turns=19 selects=178
  match 154 seat0: winner=0 turns=15 selects=149
  match 154 seat1: winner=0 turns=16 selects=175
  match 155 seat0: winner=1 turns=2 selects=20
  match 155 seat1: winner=0 turns=14 selects=142
  match 156 seat0: winner=0 turns=13 selects=91
  match 156 seat1: winner=0 turns=16 selects=158
  match 157 seat0: winner=1 turns=18 selects=139
  match 157 seat1: winner=0 turns=18 selects=171
  match 158 seat0: winner=1 turns=16 selects=157
  match 158 seat1: winner=0 turns=12 selects=124
  match 159 seat0: winner=0 turns=15 selects=102
  match 159 seat1: winner=0 turns=14 selects=141
  match 160 seat0: winner=0 turns=15 selects=149
  match 160 seat1: winner=1 turns=15 selects=158
  match 161 seat0: winner=0 turns=17 selects=149
  match 161 seat1: winner=0 turns=12 selects=121
  match 162 seat0: winner=1 turns=14 selects=149
  match 162 seat1: winner=1 turns=19 selects=155
  match 163 seat0: winner=0 turns=15 selects=94
  match 163 seat1: winner=1 turns=19 selects=139
  match 164 seat0: winner=1 turns=14 selects=128
  match 164 seat1: winner=1 turns=13 selects=135
  match 165 seat0: winner=1 turns=14 selects=131
  match 165 seat1: winner=0 turns=16 selects=151
  match 166 seat0: winner=0 turns=15 selects=138
  match 166 seat1: winner=0 turns=12 selects=121
  match 167 seat0: winner=1 turns=24 selects=152
  match 167 seat1: winner=1 turns=15 selects=131
  match 168 seat0: winner=0 turns=11 selects=112
  match 168 seat1: winner=0 turns=12 selects=148
  match 169 seat0: winner=1 turns=14 selects=147
  match 169 seat1: winner=0 turns=18 selects=160
  match 170 seat0: winner=1 turns=16 selects=170
  match 170 seat1: winner=0 turns=18 selects=176
  match 171 seat0: winner=0 turns=17 selects=97
  match 171 seat1: winner=1 turns=23 selects=188
  match 172 seat0: winner=0 turns=15 selects=143
  match 172 seat1: winner=1 turns=17 selects=157
  match 173 seat0: winner=1 turns=16 selects=130
  match 173 seat1: winner=1 turns=17 selects=184
  match 174 seat0: winner=1 turns=12 selects=109
  match 174 seat1: winner=0 turns=16 selects=142
  match 175 seat0: winner=1 turns=12 selects=143
  match 175 seat1: winner=0 turns=16 selects=183
  match 176 seat0: winner=1 turns=12 selects=123
  match 176 seat1: winner=1 turns=19 selects=120
  match 177 seat0: winner=1 turns=18 selects=168
  match 177 seat1: winner=0 turns=14 selects=153
  match 178 seat0: winner=1 turns=12 selects=116
  match 178 seat1: winner=1 turns=13 selects=128
  match 179 seat0: winner=1 turns=14 selects=123
  match 179 seat1: winner=1 turns=17 selects=158
  match 180 seat0: winner=1 turns=24 selects=161
  match 180 seat1: winner=0 turns=18 selects=162
  match 181 seat0: winner=0 turns=17 selects=162
  match 181 seat1: winner=0 turns=18 selects=159
  match 182 seat0: winner=1 turns=6 selects=47
  match 182 seat1: winner=0 turns=12 selects=118
  match 183 seat0: winner=0 turns=15 selects=146
  match 183 seat1: winner=0 turns=14 selects=150
  match 184 seat0: winner=1 turns=2 selects=17
  match 184 seat1: winner=1 turns=15 selects=124
  match 185 seat0: winner=1 turns=14 selects=164
  match 185 seat1: winner=0 turns=4 selects=48
  match 186 seat0: winner=1 turns=6 selects=38
  match 186 seat1: winner=1 turns=15 selects=122
  match 187 seat0: winner=0 turns=17 selects=167
  match 187 seat1: winner=0 turns=4 selects=38
  match 188 seat0: winner=0 turns=13 selects=143
  match 188 seat1: winner=1 turns=15 selects=156
  match 189 seat0: winner=0 turns=15 selects=137
  match 189 seat1: winner=1 turns=15 selects=159
  match 190 seat0: winner=1 turns=16 selects=160
  match 190 seat1: winner=1 turns=13 selects=147
  match 191 seat0: winner=1 turns=14 selects=145
  match 191 seat1: winner=0 turns=16 selects=160
  match 192 seat0: winner=1 turns=14 selects=154
  match 192 seat1: winner=1 turns=13 selects=149
