=== cru@crustle vs rule:dragapult@dragapult_ex matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 147 seat1: winner=1 turns=32 selects=140
  match 148 seat0: winner=0 turns=32 selects=171
  match 148 seat1: winner=1 turns=38 selects=154
  match 149 seat0: winner=1 turns=20 selects=176
  match 149 seat1: winner=1 turns=44 selects=224
  match 150 seat0: winner=0 turns=30 selects=153
  match 150 seat1: winner=1 turns=25 selects=177
  match 151 seat0: winner=0 turns=32 selects=208
  match 151 seat1: winner=1 turns=34 selects=166
  match 152 seat0: winner=0 turns=23 selects=147
  match 152 seat1: winner=1 turns=19 selects=146
  match 153 seat0: winner=0 turns=40 selects=144
  match 153 seat1: winner=1 turns=27 selects=172
  match 154 seat0: winner=0 turns=31 selects=187
  match 154 seat1: winner=1 turns=23 selects=190
  match 155 seat0: winner=0 turns=27 selects=168
  match 155 seat1: winner=1 turns=21 selects=121
  match 156 seat0: winner=0 turns=36 selects=190
  match 156 seat1: winner=1 turns=31 selects=170
  match 157 seat0: winner=0 turns=24 selects=157
  match 157 seat1: winner=1 turns=13 selects=137
  match 158 seat0: winner=0 turns=32 selects=208
  match 158 seat1: winner=1 turns=40 selects=188
  match 159 seat0: winner=0 turns=19 selects=111
  match 159 seat1: winner=0 turns=16 selects=166
  match 160 seat0: winner=0 turns=19 selects=145
  match 160 seat1: winner=1 turns=32 selects=201
  match 161 seat0: winner=0 turns=34 selects=162
  match 161 seat1: winner=1 turns=25 selects=192
  match 162 seat0: winner=0 turns=27 selects=247
  match 162 seat1: winner=0 turns=10 selects=122
  match 163 seat0: winner=0 turns=21 selects=126
  match 163 seat1: winner=1 turns=21 selects=192
  match 164 seat0: winner=0 turns=31 selects=219
  match 164 seat1: winner=1 turns=27 selects=178
  match 165 seat0: winner=0 turns=25 selects=180
  match 165 seat1: winner=1 turns=22 selects=121
  match 166 seat0: winner=0 turns=29 selects=182
  match 166 seat1: winner=1 turns=18 selects=162
  match 167 seat0: winner=0 turns=29 selects=169
  match 167 seat1: winner=1 turns=40 selects=167
  match 168 seat0: winner=0 turns=34 selects=227
  match 168 seat1: winner=1 turns=27 selects=169
  match 169 seat0: winner=0 turns=21 selects=153
  match 169 seat1: winner=1 turns=15 selects=145
  match 170 seat0: winner=0 turns=26 selects=109
  match 170 seat1: winner=1 turns=21 selects=149
  match 171 seat0: winner=1 turns=18 selects=189
  match 171 seat1: winner=1 turns=17 selects=135
  match 172 seat0: winner=0 turns=26 selects=162
  match 172 seat1: winner=1 turns=24 selects=129
  match 173 seat0: winner=0 turns=19 selects=159
  match 173 seat1: winner=1 turns=27 selects=189
  match 174 seat0: winner=0 turns=34 selects=243
  match 174 seat1: winner=1 turns=25 selects=205
  match 175 seat0: winner=0 turns=19 selects=122
  match 175 seat1: winner=1 turns=38 selects=197
  match 176 seat0: winner=0 turns=36 selects=159
  match 176 seat1: winner=1 turns=32 selects=137
  match 177 seat0: winner=0 turns=28 selects=184
  match 177 seat1: winner=1 turns=28 selects=159
  match 178 seat0: winner=0 turns=38 selects=146
  match 178 seat1: winner=1 turns=15 selects=139
  match 179 seat0: winner=0 turns=31 selects=171
  match 179 seat1: winner=0 turns=18 selects=164
  match 180 seat0: winner=0 turns=36 selects=163
  match 180 seat1: winner=1 turns=36 selects=175
  match 181 seat0: winner=0 turns=23 selects=169
  match 181 seat1: winner=1 turns=23 selects=164
  match 182 seat0: winner=0 turns=17 selects=141
  match 182 seat1: winner=1 turns=23 selects=180
  match 183 seat0: winner=0 turns=23 selects=156
  match 183 seat1: winner=1 turns=40 selects=146
  match 184 seat0: winner=0 turns=32 selects=232
  match 184 seat1: winner=0 turns=12 selects=144
  match 185 seat0: winner=0 turns=46 selects=195
  match 185 seat1: winner=1 turns=30 selects=137
  match 186 seat0: winner=0 turns=34 selects=171
  match 186 seat1: winner=1 turns=50 selects=212
  match 187 seat0: winner=0 turns=19 selects=133
  match 187 seat1: winner=1 turns=23 selects=127
  match 188 seat0: winner=0 turns=13 selects=102
  match 188 seat1: winner=1 turns=21 selects=126
  match 189 seat0: winner=0 turns=26 selects=167
  match 189 seat1: winner=1 turns=36 selects=158
  match 190 seat0: winner=0 turns=36 selects=149
  match 190 seat1: winner=0 turns=10 selects=119
  match 191 seat0: winner=0 turns=15 selects=153
  match 191 seat1: winner=1 turns=24 selects=170
  match 192 seat0: winner=0 turns=38 selects=204
  match 192 seat1: winner=1 turns=38 selects=261
  match 193 seat0: winner=1 turns=8 selects=62
  match 193 seat1: winner=1 turns=23 selects=145
  match 194 seat0: winner=0 turns=38 selects=156
  match 194 seat1: winner=1 turns=36 selects=176
  match 195 seat0: winner=0 turns=25 selects=148
  match 195 seat1: winner=1 turns=21 selects=135
  match 196 seat0: winner=0 turns=40 selects=190
  match 196 seat1: winner=1 turns=22 selects=149
  match 197 seat0: winner=1 turns=12 selects=137
  match 197 seat1: winner=1 turns=7 selects=33
  match 198 seat0: winner=0 turns=36 selects=174
  match 198 seat1: winner=1 turns=36 selects=178
  match 199 seat0: winner=0 turns=19 selects=166
  match 199 seat1: winner=1 turns=27 selects=183

A=bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.890 [0.856, 0.917] W356/D0/L44 over 400 games
  as P0: W/D/L=(176, 0, 24)  as P1: W/D/L=(180, 0, 20)
  elapsed 72.1s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_cru_crustle_vs_ruledragapult_dragapult_ex.jsonl
  [health] OK calls=19993 fallbacks=0 net_missing=0 deck=400
