=== luc@lucario_v10 vs rule:v10,noS@lucario_v10 matches=250 ===
⚠ p100_luc_lucario_v10_vs_rulev10_lucario_v10.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea898-ed660f; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:v10,noS@lucario_v10 [lucario_v10], 250 paired matches (500 games)...
  match 107 seat1: winner=0 turns=13 selects=157
  match 108 seat0: winner=1 turns=12 selects=137
  match 108 seat1: winner=0 turns=13 selects=123
  match 109 seat0: winner=0 turns=11 selects=133
  match 109 seat1: winner=1 turns=10 selects=56
  match 110 seat0: winner=0 turns=15 selects=181
  match 110 seat1: winner=1 turns=14 selects=148
  match 111 seat0: winner=0 turns=11 selects=103
  match 111 seat1: winner=0 turns=13 selects=152
  match 112 seat0: winner=0 turns=13 selects=148
  match 112 seat1: winner=0 turns=13 selects=123
  match 113 seat0: winner=0 turns=15 selects=119
  match 113 seat1: winner=0 turns=3 selects=32
  match 114 seat0: winner=0 turns=11 selects=110
  match 114 seat1: winner=0 turns=13 selects=138
  match 115 seat0: winner=0 turns=9 selects=130
  match 115 seat1: winner=0 turns=11 selects=153
  match 116 seat0: winner=1 turns=12 selects=159
  match 116 seat1: winner=1 turns=10 selects=133
  match 117 seat0: winner=1 turns=12 selects=159
  match 117 seat1: winner=0 turns=14 selects=163
  match 118 seat0: winner=1 turns=12 selects=136
  match 118 seat1: winner=0 turns=11 selects=114
  match 119 seat0: winner=1 turns=10 selects=138
  match 119 seat1: winner=0 turns=13 selects=155
  match 120 seat0: winner=1 turns=13 selects=146
  match 120 seat1: winner=0 turns=13 selects=169
  match 121 seat0: winner=0 turns=7 selects=64
  match 121 seat1: winner=1 turns=12 selects=150
  match 122 seat0: winner=0 turns=15 selects=174
  match 122 seat1: winner=1 turns=14 selects=152
  match 123 seat0: winner=0 turns=11 selects=132
  match 123 seat1: winner=1 turns=12 selects=118
  match 124 seat0: winner=0 turns=11 selects=128
  match 124 seat1: winner=0 turns=17 selects=184
  match 125 seat0: winner=1 turns=15 selects=169
  match 125 seat1: winner=0 turns=11 selects=123
  match 126 seat0: winner=1 turns=14 selects=138
  match 126 seat1: winner=1 turns=12 selects=133
  match 127 seat0: winner=0 turns=13 selects=148
  match 127 seat1: winner=0 turns=11 selects=125
  match 128 seat0: winner=1 turns=20 selects=180
  match 128 seat1: winner=1 turns=10 selects=130
  match 129 seat0: winner=1 turns=12 selects=137
  match 129 seat1: winner=0 turns=14 selects=164
  match 130 seat0: winner=1 turns=10 selects=144
  match 130 seat1: winner=1 turns=10 selects=126
  match 131 seat0: winner=0 turns=11 selects=144
  match 131 seat1: winner=0 turns=15 selects=86
  match 132 seat0: winner=0 turns=9 selects=95
  match 132 seat1: winner=0 turns=11 selects=154
  match 133 seat0: winner=0 turns=15 selects=100
  match 133 seat1: winner=1 turns=10 selects=135
  match 134 seat0: winner=1 turns=16 selects=166
  match 134 seat1: winner=0 turns=13 selects=154
  match 135 seat0: winner=1 turns=12 selects=138
  match 135 seat1: winner=0 turns=7 selects=42
  match 136 seat0: winner=0 turns=17 selects=140
  match 136 seat1: winner=0 turns=13 selects=132
  match 137 seat0: winner=0 turns=25 selects=178
  match 137 seat1: winner=0 turns=13 selects=160
  match 138 seat0: winner=0 turns=11 selects=125
  match 138 seat1: winner=1 turns=8 selects=120
  match 139 seat0: winner=1 turns=12 selects=158
  match 139 seat1: winner=0 turns=11 selects=145
  match 140 seat0: winner=0 turns=11 selects=148
  match 140 seat1: winner=0 turns=11 selects=151
  match 141 seat0: winner=0 turns=11 selects=134
  match 141 seat1: winner=0 turns=11 selects=149
  match 142 seat0: winner=0 turns=13 selects=141
  match 142 seat1: winner=0 turns=11 selects=118
