=== cru@crustle vs rule:alakazam5@alakazam5 matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 167 seat1: winner=0 turns=13 selects=112
  match 168 seat0: winner=0 turns=18 selects=133
  match 168 seat1: winner=1 turns=23 selects=93
  match 169 seat0: winner=0 turns=26 selects=120
  match 169 seat1: winner=0 turns=19 selects=138
  match 170 seat0: winner=1 turns=12 selects=95
  match 170 seat1: winner=0 turns=7 selects=71
  match 171 seat0: winner=1 turns=18 selects=122
  match 171 seat1: winner=0 turns=19 selects=153
  match 172 seat0: winner=1 turns=14 selects=127
  match 172 seat1: winner=0 turns=15 selects=114
  match 173 seat0: winner=0 turns=17 selects=76
  match 173 seat1: winner=1 turns=31 selects=157
  match 174 seat0: winner=0 turns=40 selects=107
  match 174 seat1: winner=1 turns=20 selects=143
  match 175 seat0: winner=0 turns=34 selects=133
  match 175 seat1: winner=1 turns=28 selects=142
  match 176 seat0: winner=1 turns=4 selects=48
  match 176 seat1: winner=1 turns=27 selects=142
  match 177 seat0: winner=1 turns=10 selects=73
  match 177 seat1: winner=0 turns=7 selects=62
  match 178 seat0: winner=0 turns=20 selects=124
  match 178 seat1: winner=0 turns=9 selects=90
  match 179 seat0: winner=0 turns=28 selects=123
  match 179 seat1: winner=1 turns=15 selects=118
  match 180 seat0: winner=0 turns=24 selects=134
  match 180 seat1: winner=1 turns=22 selects=153
  match 181 seat0: winner=1 turns=10 selects=94
  match 181 seat1: winner=0 turns=9 selects=77
  match 182 seat0: winner=0 turns=38 selects=136
  match 182 seat1: winner=1 turns=22 selects=141
  match 183 seat0: winner=1 turns=10 selects=79
  match 183 seat1: winner=1 turns=3 selects=19
  match 184 seat0: winner=0 turns=25 selects=130
  match 184 seat1: winner=0 turns=7 selects=75
  match 185 seat0: winner=0 turns=15 selects=97
  match 185 seat1: winner=1 turns=16 selects=94
  match 186 seat0: winner=1 turns=10 selects=101
  match 186 seat1: winner=1 turns=34 selects=159
  match 187 seat0: winner=0 turns=12 selects=55
  match 187 seat1: winner=0 turns=28 selects=147
  match 188 seat0: winner=1 turns=16 selects=118
  match 188 seat1: winner=1 turns=24 selects=145
  match 189 seat0: winner=0 turns=28 selects=112
  match 189 seat1: winner=1 turns=31 selects=121
  match 190 seat0: winner=1 turns=12 selects=97
  match 190 seat1: winner=0 turns=9 selects=86
  match 191 seat0: winner=0 turns=27 selects=141
  match 191 seat1: winner=1 turns=27 selects=142
  match 192 seat0: winner=0 turns=23 selects=137
  match 192 seat1: winner=1 turns=19 selects=146
