=== cru@crustle vs rule:archaludon@archaludon_ex matches=200 ===
bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [crustle] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 171 seat0: winner=0 turns=16 selects=92
  match 171 seat1: winner=0 turns=2 selects=21
  match 172 seat0: winner=0 turns=15 selects=71
  match 172 seat1: winner=0 turns=12 selects=88
  match 173 seat0: winner=0 turns=17 selects=86
  match 173 seat1: winner=1 turns=17 selects=98
  match 174 seat0: winner=0 turns=18 selects=117
  match 174 seat1: winner=1 turns=22 selects=134
  match 175 seat0: winner=1 turns=26 selects=104
  match 175 seat1: winner=0 turns=16 selects=123
  match 176 seat0: winner=1 turns=2 selects=17
  match 176 seat1: winner=0 turns=16 selects=83
  match 177 seat0: winner=1 turns=10 selects=76
  match 177 seat1: winner=1 turns=19 selects=103
  match 178 seat0: winner=0 turns=7 selects=41
  match 178 seat1: winner=1 turns=17 selects=130
  match 179 seat0: winner=0 turns=17 selects=104
  match 179 seat1: winner=0 turns=18 selects=143
  match 180 seat0: winner=0 turns=21 selects=79
  match 180 seat1: winner=0 turns=2 selects=19
  match 181 seat0: winner=0 turns=27 selects=136
  match 181 seat1: winner=1 turns=21 selects=94
  match 182 seat0: winner=0 turns=15 selects=109
  match 182 seat1: winner=1 turns=17 selects=103
  match 183 seat0: winner=0 turns=25 selects=122
  match 183 seat1: winner=0 turns=12 selects=62
  match 184 seat0: winner=0 turns=15 selects=109
  match 184 seat1: winner=1 turns=19 selects=92
  match 185 seat0: winner=0 turns=24 selects=111
  match 185 seat1: winner=0 turns=2 selects=24
  match 186 seat0: winner=0 turns=11 selects=83
  match 186 seat1: winner=1 turns=15 selects=124
  match 187 seat0: winner=0 turns=17 selects=95
  match 187 seat1: winner=1 turns=26 selects=152
  match 188 seat0: winner=0 turns=10 selects=55
  match 188 seat1: winner=1 turns=13 selects=84
  match 189 seat0: winner=1 turns=16 selects=103
  match 189 seat1: winner=0 turns=10 selects=85
  match 190 seat0: winner=0 turns=17 selects=115
  match 190 seat1: winner=1 turns=23 selects=104
  match 191 seat0: winner=0 turns=21 selects=127
  match 191 seat1: winner=0 turns=18 selects=118
  match 192 seat0: winner=0 turns=17 selects=100
  match 192 seat1: winner=0 turns=20 selects=132
  match 193 seat0: winner=0 turns=17 selects=86
  match 193 seat1: winner=0 turns=26 selects=161
  match 194 seat0: winner=1 turns=2 selects=22
  match 194 seat1: winner=1 turns=21 selects=134
  match 195 seat0: winner=0 turns=15 selects=78
  match 195 seat1: winner=1 turns=19 selects=110
  match 196 seat0: winner=1 turns=20 selects=100
  match 196 seat1: winner=0 turns=20 selects=114
  match 197 seat0: winner=1 turns=16 selects=99
  match 197 seat1: winner=1 turns=19 selects=98
  match 198 seat0: winner=1 turns=2 selects=25
  match 198 seat1: winner=0 turns=20 selects=93
  match 199 seat0: winner=1 turns=2 selects=18
  match 199 seat1: winner=0 turns=28 selects=138

A=bc:cru,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.591 [0.542, 0.638] W234/D5/L161 over 400 games
  as P0: W/D/L=(134, 3, 63)  as P1: W/D/L=(100, 2, 98)
  elapsed 54.3s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_cru_crustle_vs_rulearchaludon_archaludon_ex.jsonl
  [health] OK calls=19249 fallbacks=0 net_missing=0 deck=400
