=== luc@lucario_v10 vs rule:dragapult@dragapult_ex matches=200 ===
⚠ p100_luc_lucario_v10_vs_ruledragapult_dragapult_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea988-b2f675; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 150 seat1: winner=1 turns=11 selects=135
  match 151 seat0: winner=0 turns=11 selects=75
  match 151 seat1: winner=0 turns=12 selects=171
  match 152 seat0: winner=1 turns=8 selects=120
  match 152 seat1: winner=1 turns=13 selects=168
  match 153 seat0: winner=1 turns=14 selects=167
  match 153 seat1: winner=0 turns=12 selects=147
  match 154 seat0: winner=0 turns=13 selects=105
  match 154 seat1: winner=1 turns=13 selects=164
  match 155 seat0: winner=0 turns=13 selects=138
  match 155 seat1: winner=1 turns=13 selects=138
  match 156 seat0: winner=0 turns=13 selects=167
  match 156 seat1: winner=1 turns=11 selects=142
  match 157 seat0: winner=0 turns=9 selects=153
  match 157 seat1: winner=0 turns=10 selects=154
  match 158 seat0: winner=1 turns=12 selects=137
  match 158 seat1: winner=0 turns=12 selects=165
  match 159 seat0: winner=0 turns=13 selects=150
  match 159 seat1: winner=1 turns=13 selects=153
  match 160 seat0: winner=0 turns=11 selects=170
  match 160 seat1: winner=1 turns=9 selects=103
  match 161 seat0: winner=0 turns=9 selects=122
  match 161 seat1: winner=1 turns=13 selects=133
  match 162 seat0: winner=1 turns=12 selects=141
  match 162 seat1: winner=0 turns=12 selects=162
  match 163 seat0: winner=0 turns=3 selects=27
  match 163 seat1: winner=1 turns=13 selects=110
  match 164 seat0: winner=0 turns=13 selects=143
  match 164 seat1: winner=1 turns=11 selects=163
  match 165 seat0: winner=0 turns=3 selects=39
  match 165 seat1: winner=1 turns=11 selects=151
  match 166 seat0: winner=0 turns=11 selects=120
  match 166 seat1: winner=0 turns=10 selects=116
  match 167 seat0: winner=1 turns=4 selects=29
  match 167 seat1: winner=0 turns=12 selects=165
  match 168 seat0: winner=0 turns=9 selects=138
  match 168 seat1: winner=1 turns=11 selects=137
  match 169 seat0: winner=1 turns=10 selects=133
  match 169 seat1: winner=1 turns=11 selects=168
  match 170 seat0: winner=0 turns=11 selects=80
  match 170 seat1: winner=1 turns=9 selects=157
  match 171 seat0: winner=0 turns=15 selects=145
  match 171 seat1: winner=1 turns=11 selects=117
  match 172 seat0: winner=1 turns=12 selects=129
  match 172 seat1: winner=1 turns=19 selects=162
  match 173 seat0: winner=1 turns=12 selects=153
  match 173 seat1: winner=0 turns=12 selects=164
  match 174 seat0: winner=0 turns=9 selects=112
  match 174 seat1: winner=1 turns=11 selects=118
  match 175 seat0: winner=1 turns=14 selects=181
  match 175 seat1: winner=1 turns=9 selects=112
  match 176 seat0: winner=0 turns=3 selects=28
  match 176 seat1: winner=1 turns=9 selects=120
  match 177 seat0: winner=1 turns=12 selects=181
  match 177 seat1: winner=1 turns=13 selects=79
  match 178 seat0: winner=0 turns=13 selects=186
  match 178 seat1: winner=1 turns=13 selects=127
  match 179 seat0: winner=0 turns=9 selects=136
  match 179 seat1: winner=0 turns=10 selects=157
  match 180 seat0: winner=0 turns=13 selects=180
  match 180 seat1: winner=1 turns=11 selects=167
  match 181 seat0: winner=0 turns=13 selects=133
