=== arch@archaludon_ex vs rule:dragapult@dragapult_ex matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:dragapult@dragapult_ex [dragapult_ex], 200 paired matches (400 games)...
  match 138 seat0: winner=1 turns=16 selects=184
  match 138 seat1: winner=0 turns=10 selects=128
  match 139 seat0: winner=1 turns=14 selects=152
  match 139 seat1: winner=0 turns=14 selects=184
  match 140 seat0: winner=1 turns=8 selects=91
  match 140 seat1: winner=0 turns=18 selects=178
  match 141 seat0: winner=0 turns=23 selects=179
  match 141 seat1: winner=1 turns=13 selects=163
  match 142 seat0: winner=0 turns=13 selects=136
  match 142 seat1: winner=0 turns=16 selects=169
  match 143 seat0: winner=1 turns=14 selects=163
  match 143 seat1: winner=0 turns=10 selects=101
  match 144 seat0: winner=1 turns=14 selects=168
  match 144 seat1: winner=0 turns=8 selects=107
  match 145 seat0: winner=1 turns=14 selects=166
  match 145 seat1: winner=0 turns=12 selects=120
  match 146 seat0: winner=1 turns=17 selects=166
  match 146 seat1: winner=0 turns=16 selects=196
  match 147 seat0: winner=1 turns=16 selects=162
  match 147 seat1: winner=0 turns=18 selects=124
  match 148 seat0: winner=1 turns=16 selects=192
  match 148 seat1: winner=0 turns=8 selects=93
  match 149 seat0: winner=0 turns=15 selects=128
  match 149 seat1: winner=0 turns=18 selects=211
  match 150 seat0: winner=1 turns=14 selects=186
  match 150 seat1: winner=0 turns=12 selects=115
  match 151 seat0: winner=1 turns=6 selects=68
  match 151 seat1: winner=0 turns=6 selects=59
  match 152 seat0: winner=1 turns=16 selects=193
  match 152 seat1: winner=1 turns=13 selects=132
  match 153 seat0: winner=1 turns=14 selects=194
  match 153 seat1: winner=1 turns=15 selects=174
  match 154 seat0: winner=1 turns=6 selects=51
  match 154 seat1: winner=1 turns=15 selects=155
  match 155 seat0: winner=0 turns=11 selects=121
  match 155 seat1: winner=0 turns=12 selects=166
  match 156 seat0: winner=0 turns=15 selects=124
  match 156 seat1: winner=1 turns=11 selects=155
  match 157 seat0: winner=0 turns=17 selects=180
  match 157 seat1: winner=0 turns=16 selects=182
  match 158 seat0: winner=0 turns=13 selects=151
  match 158 seat1: winner=0 turns=16 selects=173
  match 159 seat0: winner=0 turns=15 selects=167
  match 159 seat1: winner=0 turns=10 selects=122
  match 160 seat0: winner=0 turns=17 selects=186
  match 160 seat1: winner=1 turns=15 selects=152
  match 161 seat0: winner=0 turns=22 selects=182
  match 161 seat1: winner=0 turns=18 selects=161
  match 162 seat0: winner=0 turns=15 selects=175
  match 162 seat1: winner=0 turns=14 selects=168
  match 163 seat0: winner=1 turns=10 selects=90
  match 163 seat1: winner=1 turns=15 selects=166
  match 164 seat0: winner=1 turns=8 selects=84
  match 164 seat1: winner=0 turns=12 selects=144
  match 165 seat0: winner=0 turns=15 selects=195
  match 165 seat1: winner=0 turns=8 selects=60
  match 166 seat0: winner=0 turns=5 selects=56
  match 166 seat1: winner=1 turns=13 selects=123
  match 167 seat0: winner=0 turns=17 selects=182
  match 167 seat1: winner=1 turns=17 selects=126
  match 168 seat0: winner=1 turns=8 selects=107
  match 168 seat1: winner=0 turns=10 selects=124
  match 169 seat0: winner=1 turns=10 selects=127
  match 169 seat1: winner=1 turns=15 selects=155
  match 170 seat0: winner=0 turns=17 selects=165
  match 170 seat1: winner=0 turns=8 selects=69
  match 171 seat0: winner=0 turns=17 selects=147
  match 171 seat1: winner=0 turns=16 selects=205
  match 172 seat0: winner=0 turns=3 selects=26
  match 172 seat1: winner=0 turns=10 selects=87
  match 173 seat0: winner=1 turns=14 selects=142
  match 173 seat1: winner=0 turns=16 selects=163
  match 174 seat0: winner=1 turns=10 selects=110
  match 174 seat1: winner=1 turns=11 selects=127
  match 175 seat0: winner=0 turns=21 selects=182
  match 175 seat1: winner=0 turns=14 selects=179
  match 176 seat0: winner=0 turns=7 selects=55
  match 176 seat1: winner=0 turns=10 selects=100
  match 177 seat0: winner=1 turns=10 selects=131
  match 177 seat1: winner=0 turns=16 selects=166
  match 178 seat0: winner=0 turns=21 selects=205
  match 178 seat1: winner=0 turns=22 selects=222
  match 179 seat0: winner=0 turns=17 selects=188
  match 179 seat1: winner=0 turns=10 selects=146
  match 180 seat0: winner=1 turns=8 selects=106
  match 180 seat1: winner=0 turns=14 selects=154
  match 181 seat0: winner=0 turns=6 selects=49
  match 181 seat1: winner=0 turns=12 selects=177
  match 182 seat0: winner=1 turns=14 selects=181
  match 182 seat1: winner=1 turns=17 selects=183
  match 183 seat0: winner=1 turns=14 selects=189
  match 183 seat1: winner=1 turns=13 selects=135
  match 184 seat0: winner=0 turns=15 selects=150
  match 184 seat1: winner=1 turns=15 selects=191
  match 185 seat0: winner=1 turns=17 selects=179
  match 185 seat1: winner=0 turns=14 selects=173
  match 186 seat0: winner=1 turns=20 selects=208
  match 186 seat1: winner=0 turns=14 selects=154
  match 187 seat0: winner=1 turns=16 selects=189
  match 187 seat1: winner=1 turns=13 selects=104
  match 188 seat0: winner=1 turns=10 selects=138
  match 188 seat1: winner=0 turns=8 selects=69
  match 189 seat0: winner=1 turns=10 selects=109
  match 189 seat1: winner=0 turns=16 selects=188
  match 190 seat0: winner=0 turns=13 selects=165
  match 190 seat1: winner=1 turns=17 selects=195
  match 191 seat0: winner=1 turns=10 selects=69
  match 191 seat1: winner=1 turns=21 selects=201
  match 192 seat0: winner=1 turns=6 selects=58
  match 192 seat1: winner=0 turns=20 selects=195
  match 193 seat0: winner=1 turns=10 selects=147
  match 193 seat1: winner=0 turns=14 selects=185
  match 194 seat0: winner=1 turns=18 selects=188
  match 194 seat1: winner=0 turns=18 selects=198
  match 195 seat0: winner=0 turns=5 selects=51
  match 195 seat1: winner=0 turns=16 selects=139
  match 196 seat0: winner=1 turns=10 selects=44
  match 196 seat1: winner=1 turns=13 selects=141
  match 197 seat0: winner=1 turns=14 selects=168
  match 197 seat1: winner=0 turns=16 selects=143
  match 198 seat0: winner=1 turns=8 selects=109
  match 198 seat1: winner=1 turns=17 selects=197
  match 199 seat0: winner=1 turns=14 selects=148
  match 199 seat1: winner=1 turns=11 selects=102

A=bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.328 [0.283, 0.375] W131/D0/L269 over 400 games
  as P0: W/D/L=(69, 0, 131)  as P1: W/D/L=(62, 0, 138)
  elapsed 75.7s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_arch_archaludon_ex_vs_ruledragapult_dragapult_ex.jsonl
  [health] OK calls=21629 fallbacks=0 net_missing=0 deck=400
