=== arch@archaludon_ex vs rule:crustle@crustle_v1 matches=200 ===
bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [archaludon_ex] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 180 seat1: winner=0 turns=26 selects=104
  match 181 seat0: winner=1 turns=33 selects=135
  match 181 seat1: winner=0 turns=19 selects=95
  match 182 seat0: winner=1 turns=31 selects=107
  match 182 seat1: winner=0 turns=39 selects=129
  match 183 seat0: winner=1 turns=21 selects=86
  match 183 seat1: winner=1 turns=15 selects=78
  match 184 seat0: winner=1 turns=23 selects=119
  match 184 seat1: winner=0 turns=27 selects=114
  match 185 seat0: winner=1 turns=15 selects=78
  match 185 seat1: winner=0 turns=17 selects=88
  match 186 seat0: winner=1 turns=19 selects=85
  match 186 seat1: winner=0 turns=38 selects=129
  match 187 seat0: winner=1 turns=31 selects=135
  match 187 seat1: winner=0 turns=21 selects=120
  match 188 seat0: winner=0 turns=5 selects=29
  match 188 seat1: winner=0 turns=39 selects=137
  match 189 seat0: winner=1 turns=15 selects=85
  match 189 seat1: winner=1 turns=5 selects=39
  match 190 seat0: winner=1 turns=39 selects=125
  match 190 seat1: winner=0 turns=31 selects=121
  match 191 seat0: winner=1 turns=19 selects=106
  match 191 seat1: winner=0 turns=29 selects=113
  match 192 seat0: winner=1 turns=6 selects=25
  match 192 seat1: winner=1 turns=7 selects=34
  match 193 seat0: winner=1 turns=19 selects=104
  match 193 seat1: winner=0 turns=40 selects=141
  match 194 seat0: winner=1 turns=23 selects=106
  match 194 seat1: winner=0 turns=25 selects=109
  match 195 seat0: winner=1 turns=19 selects=78
  match 195 seat1: winner=1 turns=5 selects=32
  match 196 seat0: winner=1 turns=19 selects=105
  match 196 seat1: winner=0 turns=21 selects=97
  match 197 seat0: winner=1 turns=21 selects=87
  match 197 seat1: winner=0 turns=17 selects=92
  match 198 seat0: winner=1 turns=15 selects=87
  match 198 seat1: winner=0 turns=31 selects=134
  match 199 seat0: winner=1 turns=34 selects=135
  match 199 seat1: winner=1 turns=5 selects=37

A=bc:arch,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.080 [0.057, 0.111] W32/D0/L368 over 400 games
  as P0: W/D/L=(16, 0, 184)  as P1: W/D/L=(16, 0, 184)
  elapsed 63.6s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_arch_archaludon_ex_vs_rulecrustle_crustle_v1.jsonl
  [health] OK calls=29706 fallbacks=0 net_missing=0 deck=400
