=== ala@alakazam5 vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 135 seat1: winner=0 turns=17 selects=222
  match 136 seat0: winner=1 turns=10 selects=148
  match 136 seat1: winner=0 turns=17 selects=240
  match 137 seat0: winner=0 turns=13 selects=117
  match 137 seat1: winner=0 turns=13 selects=199
  match 138 seat0: winner=1 turns=14 selects=174
  match 138 seat1: winner=0 turns=11 selects=167
  match 139 seat0: winner=1 turns=14 selects=202
  match 139 seat1: winner=0 turns=13 selects=208
  match 140 seat0: winner=1 turns=14 selects=173
  match 140 seat1: winner=0 turns=13 selects=163
  match 141 seat0: winner=1 turns=18 selects=187
  match 141 seat1: winner=0 turns=13 selects=166
  match 142 seat0: winner=0 turns=15 selects=205
  match 142 seat1: winner=1 turns=12 selects=174
  match 143 seat0: winner=0 turns=11 selects=176
  match 143 seat1: winner=0 turns=11 selects=142
  match 144 seat0: winner=0 turns=11 selects=135
  match 144 seat1: winner=0 turns=15 selects=236
  match 145 seat0: winner=1 turns=12 selects=116
  match 145 seat1: winner=0 turns=11 selects=141
  match 146 seat0: winner=0 turns=11 selects=190
  match 146 seat1: winner=0 turns=11 selects=142
  match 147 seat0: winner=1 turns=10 selects=159
  match 147 seat1: winner=0 turns=11 selects=165
  match 148 seat0: winner=0 turns=9 selects=142
  match 148 seat1: winner=0 turns=9 selects=154
  match 149 seat0: winner=1 turns=12 selects=158
  match 149 seat1: winner=1 turns=12 selects=141
  match 150 seat0: winner=0 turns=11 selects=134
  match 150 seat1: winner=1 turns=14 selects=160
  match 151 seat0: winner=1 turns=12 selects=177
  match 151 seat1: winner=0 turns=11 selects=164
  match 152 seat0: winner=1 turns=10 selects=170
  match 152 seat1: winner=0 turns=11 selects=189
  match 153 seat0: winner=1 turns=14 selects=218
  match 153 seat1: winner=1 turns=16 selects=222
  match 154 seat0: winner=0 turns=3 selects=31
  match 154 seat1: winner=0 turns=13 selects=175
  match 155 seat0: winner=1 turns=12 selects=190
