=== luc@lucario_v10 vs rule:archaludon@archaludon_ex matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulearchaludon_archaludon_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea951-852a13; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 175 seat0: winner=1 turns=12 selects=134
  match 175 seat1: winner=1 turns=13 selects=86
  match 176 seat0: winner=1 turns=6 selects=55
  match 176 seat1: winner=0 turns=10 selects=98
  match 177 seat0: winner=0 turns=13 selects=103
  match 177 seat1: winner=0 turns=16 selects=130
  match 178 seat0: winner=1 turns=14 selects=132
  match 178 seat1: winner=0 turns=12 selects=144
  match 179 seat0: winner=1 turns=10 selects=142
  match 179 seat1: winner=1 turns=3 selects=29
  match 180 seat0: winner=1 turns=4 selects=32
  match 180 seat1: winner=1 turns=17 selects=137
  match 181 seat0: winner=1 turns=12 selects=133
  match 181 seat1: winner=1 turns=5 selects=45
  match 182 seat0: winner=1 turns=12 selects=134
  match 182 seat1: winner=0 turns=10 selects=110
  match 183 seat0: winner=0 turns=11 selects=103
  match 183 seat1: winner=1 turns=5 selects=36
  match 184 seat0: winner=1 turns=5 selects=35
  match 184 seat1: winner=0 turns=16 selects=101
  match 185 seat0: winner=0 turns=5 selects=70
  match 185 seat1: winner=0 turns=14 selects=153
  match 186 seat0: winner=0 turns=15 selects=138
  match 186 seat1: winner=1 turns=9 selects=56
  match 187 seat0: winner=1 turns=12 selects=114
  match 187 seat1: winner=0 turns=14 selects=135
  match 188 seat0: winner=1 turns=6 selects=44
  match 188 seat1: winner=0 turns=14 selects=134
  match 189 seat0: winner=1 turns=14 selects=145
  match 189 seat1: winner=1 turns=7 selects=54
  match 190 seat0: winner=0 turns=3 selects=27
  match 190 seat1: winner=0 turns=12 selects=132
  match 191 seat0: winner=1 turns=16 selects=164
  match 191 seat1: winner=0 turns=14 selects=143
  match 192 seat0: winner=1 turns=12 selects=91
  match 192 seat1: winner=0 turns=12 selects=120
  match 193 seat0: winner=1 turns=16 selects=140
  match 193 seat1: winner=0 turns=12 selects=135
  match 194 seat0: winner=0 turns=15 selects=149
  match 194 seat1: winner=0 turns=12 selects=112
  match 195 seat0: winner=1 turns=12 selects=134
  match 195 seat1: winner=1 turns=17 selects=158
  match 196 seat0: winner=0 turns=9 selects=80
  match 196 seat1: winner=0 turns=10 selects=95
  match 197 seat0: winner=0 turns=19 selects=140
  match 197 seat1: winner=0 turns=6 selects=45
  match 198 seat0: winner=0 turns=13 selects=98
  match 198 seat1: winner=0 turns=18 selects=142
  match 199 seat0: winner=1 turns=16 selects=152
  match 199 seat1: winner=0 turns=12 selects=140

A=bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.340 [0.295, 0.388] W136/D0/L264 over 400 games
  as P0: W/D/L=(66, 0, 134)  as P1: W/D/L=(70, 0, 130)
  elapsed 52.5s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_luc_lucario_v10_vs_rulearchaludon_archaludon_ex.jsonl
  [health] OK calls=25102 fallbacks=0 net_missing=0 deck=400
