=== ala@alakazam5 vs rule:alakazam5@alakazam5 matches=200 ===
bc:ala,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [alakazam5] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 82 seat1: winner=1 turns=14 selects=141
  match 83 seat0: winner=0 turns=13 selects=137
  match 83 seat1: winner=0 turns=16 selects=167
  match 84 seat0: winner=1 turns=16 selects=175
  match 84 seat1: winner=1 turns=14 selects=139
  match 85 seat0: winner=0 turns=13 selects=154
  match 85 seat1: winner=1 turns=12 selects=134
  match 86 seat0: winner=0 turns=11 selects=122
  match 86 seat1: winner=0 turns=17 selects=193
  match 87 seat0: winner=1 turns=14 selects=159
  match 87 seat1: winner=1 turns=16 selects=160
  match 88 seat0: winner=0 turns=13 selects=127
  match 88 seat1: winner=1 turns=12 selects=130
  match 89 seat0: winner=0 turns=13 selects=124
  match 89 seat1: winner=1 turns=12 selects=84
  match 90 seat0: winner=0 turns=13 selects=117
  match 90 seat1: winner=1 turns=14 selects=157
  match 91 seat0: winner=0 turns=21 selects=141
  match 91 seat1: winner=0 turns=15 selects=153
  match 92 seat0: winner=1 turns=16 selects=164
  match 92 seat1: winner=1 turns=16 selects=134
  match 93 seat0: winner=1 turns=14 selects=93
  match 93 seat1: winner=1 turns=14 selects=117
  match 94 seat0: winner=0 turns=15 selects=151
  match 94 seat1: winner=1 turns=18 selects=154
  match 95 seat0: winner=1 turns=21 selects=194
  match 95 seat1: winner=1 turns=8 selects=69
  match 96 seat0: winner=0 turns=15 selects=143
  match 96 seat1: winner=1 turns=20 selects=213
  match 97 seat0: winner=0 turns=13 selects=163
  match 97 seat1: winner=1 turns=14 selects=148
  match 98 seat0: winner=0 turns=27 selects=190
  match 98 seat1: winner=1 turns=16 selects=137
  match 99 seat0: winner=1 turns=12 selects=165
  match 99 seat1: winner=1 turns=14 selects=132
  match 100 seat0: winner=0 turns=7 selects=59
  match 100 seat1: winner=0 turns=8 selects=52
  match 101 seat0: winner=1 turns=12 selects=163
  match 101 seat1: winner=1 turns=14 selects=166
  match 102 seat0: winner=1 turns=15 selects=167
  match 102 seat1: winner=1 turns=14 selects=139
  match 103 seat0: winner=0 turns=13 selects=116
  match 103 seat1: winner=1 turns=12 selects=142
  match 104 seat0: winner=1 turns=14 selects=148
  match 104 seat1: winner=1 turns=14 selects=138
  match 105 seat0: winner=0 turns=15 selects=161
  match 105 seat1: winner=1 turns=15 selects=171
  match 106 seat0: winner=0 turns=11 selects=135
  match 106 seat1: winner=1 turns=12 selects=158
  match 107 seat0: winner=0 turns=13 selects=126
  match 107 seat1: winner=0 turns=26 selects=190
  match 108 seat0: winner=0 turns=13 selects=143
  match 108 seat1: winner=1 turns=14 selects=106
  match 109 seat0: winner=0 turns=15 selects=141
  match 109 seat1: winner=1 turns=16 selects=148
  match 110 seat0: winner=1 turns=20 selects=184
  match 110 seat1: winner=1 turns=14 selects=130
  match 111 seat0: winner=1 turns=16 selects=152
  match 111 seat1: winner=1 turns=16 selects=133
  match 112 seat0: winner=0 turns=11 selects=121
  match 112 seat1: winner=1 turns=17 selects=200
  match 113 seat0: winner=0 turns=13 selects=143
  match 113 seat1: winner=1 turns=6 selects=43
  match 114 seat0: winner=0 turns=15 selects=131
  match 114 seat1: winner=1 turns=12 selects=145
  match 115 seat0: winner=0 turns=26 selects=193
  match 115 seat1: winner=0 turns=19 selects=188
  match 116 seat0: winner=0 turns=13 selects=124
  match 116 seat1: winner=0 turns=14 selects=175
  match 117 seat0: winner=1 turns=23 selects=200
  match 117 seat1: winner=1 turns=14 selects=151
  match 118 seat0: winner=1 turns=15 selects=179
  match 118 seat1: winner=1 turns=14 selects=143
  match 119 seat0: winner=1 turns=18 selects=169
  match 119 seat1: winner=1 turns=14 selects=131
  match 120 seat0: winner=0 turns=13 selects=125
  match 120 seat1: winner=1 turns=16 selects=162
  match 121 seat0: winner=0 turns=13 selects=151
  match 121 seat1: winner=1 turns=12 selects=125
  match 122 seat0: winner=0 turns=13 selects=119
  match 122 seat1: winner=1 turns=18 selects=151
  match 123 seat0: winner=1 turns=18 selects=159
  match 123 seat1: winner=1 turns=18 selects=168
  match 124 seat0: winner=0 turns=13 selects=143
  match 124 seat1: winner=1 turns=16 selects=181
  match 125 seat0: winner=0 turns=26 selects=236
  match 125 seat1: winner=0 turns=15 selects=143
  match 126 seat0: winner=0 turns=13 selects=119
  match 126 seat1: winner=1 turns=16 selects=152
  match 127 seat0: winner=0 turns=15 selects=174
  match 127 seat1: winner=0 turns=13 selects=151
  match 128 seat0: winner=1 turns=14 selects=169
  match 128 seat1: winner=1 turns=16 selects=117
  match 129 seat0: winner=1 turns=23 selects=165
  match 129 seat1: winner=1 turns=6 selects=41
  match 130 seat0: winner=0 turns=11 selects=122
  match 130 seat1: winner=1 turns=16 selects=145
  match 131 seat0: winner=1 turns=16 selects=154
  match 131 seat1: winner=0 turns=17 selects=197
  match 132 seat0: winner=0 turns=11 selects=105
  match 132 seat1: winner=1 turns=18 selects=171
  match 133 seat0: winner=0 turns=13 selects=127
  match 133 seat1: winner=1 turns=14 selects=156
  match 134 seat0: winner=0 turns=13 selects=136
  match 134 seat1: winner=1 turns=14 selects=159
  match 135 seat0: winner=1 turns=14 selects=167
  match 135 seat1: winner=1 turns=12 selects=140
  match 136 seat0: winner=0 turns=13 selects=148
  match 136 seat1: winner=1 turns=18 selects=147
  match 137 seat0: winner=0 turns=11 selects=109
  match 137 seat1: winner=0 turns=26 selects=213
  match 138 seat0: winner=0 turns=13 selects=121
  match 138 seat1: winner=1 turns=14 selects=139
  match 139 seat0: winner=1 turns=12 selects=161
  match 139 seat1: winner=0 turns=14 selects=172
  match 140 seat0: winner=0 turns=13 selects=117
  match 140 seat1: winner=1 turns=6 selects=46
  match 141 seat0: winner=0 turns=3 selects=30
  match 141 seat1: winner=1 turns=14 selects=140
  match 142 seat0: winner=0 turns=15 selects=148
  match 142 seat1: winner=1 turns=14 selects=124
  match 143 seat0: winner=0 turns=13 selects=122
  match 143 seat1: winner=1 turns=14 selects=159
  match 144 seat0: winner=0 turns=13 selects=145
  match 144 seat1: winner=1 turns=14 selects=156
  match 145 seat0: winner=0 turns=15 selects=110
  match 145 seat1: winner=1 turns=14 selects=160
  match 146 seat0: winner=1 turns=14 selects=180
  match 146 seat1: winner=1 turns=14 selects=143
  match 147 seat0: winner=0 turns=13 selects=98
  match 147 seat1: winner=1 turns=16 selects=115
  match 148 seat0: winner=0 turns=13 selects=147
  match 148 seat1: winner=1 turns=16 selects=154
  match 149 seat0: winner=0 turns=15 selects=170
  match 149 seat1: winner=1 turns=14 selects=136
  match 150 seat0: winner=0 turns=15 selects=141
  match 150 seat1: winner=1 turns=4 selects=36
  match 151 seat0: winner=0 turns=13 selects=137
  match 151 seat1: winner=1 turns=12 selects=143
  match 152 seat0: winner=0 turns=13 selects=109
  match 152 seat1: winner=1 turns=14 selects=144
  match 153 seat0: winner=0 turns=5 selects=46
  match 153 seat1: winner=1 turns=16 selects=139
  match 154 seat0: winner=0 turns=15 selects=130
  match 154 seat1: winner=1 turns=14 selects=118
  match 155 seat0: winner=0 turns=17 selects=156
  match 155 seat1: winner=1 turns=4 selects=33
  match 156 seat0: winner=0 turns=17 selects=150
  match 156 seat1: winner=0 turns=13 selects=147
  match 157 seat0: winner=0 turns=19 selects=185
  match 157 seat1: winner=1 turns=17 selects=191
  match 158 seat0: winner=0 turns=13 selects=136
  match 158 seat1: winner=0 turns=17 selects=190
  match 159 seat0: winner=1 turns=16 selects=178
  match 159 seat1: winner=1 turns=18 selects=175
  match 160 seat0: winner=0 turns=17 selects=160
  match 160 seat1: winner=0 turns=18 selects=175
  match 161 seat0: winner=1 turns=16 selects=168
  match 161 seat1: winner=1 turns=14 selects=118
  match 162 seat0: winner=1 turns=14 selects=167
  match 162 seat1: winner=1 turns=14 selects=130
  match 163 seat0: winner=0 turns=13 selects=146
  match 163 seat1: winner=0 turns=11 selects=132
  match 164 seat0: winner=0 turns=13 selects=105
  match 164 seat1: winner=0 turns=14 selects=164
  match 165 seat0: winner=0 turns=16 selects=180
  match 165 seat1: winner=1 turns=18 selects=169
  match 166 seat0: winner=1 turns=13 selects=154
  match 166 seat1: winner=0 turns=18 selects=182
  match 167 seat0: winner=0 turns=13 selects=156
  match 167 seat1: winner=1 turns=14 selects=138
  match 168 seat0: winner=1 turns=15 selects=180
  match 168 seat1: winner=1 turns=16 selects=157
  match 169 seat0: winner=0 turns=15 selects=128
  match 169 seat1: winner=1 turns=14 selects=119
  match 170 seat0: winner=1 turns=16 selects=183
  match 170 seat1: winner=1 turns=12 selects=143
  match 171 seat0: winner=0 turns=13 selects=97
  match 171 seat1: winner=1 turns=16 selects=158
  match 172 seat0: winner=0 turns=15 selects=134
