=== luc@lucario_v10 vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea8e4-31b603; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 135 seat0: winner=1 turns=23 selects=149
  match 135 seat1: winner=1 turns=7 selects=55
  match 136 seat0: winner=1 turns=21 selects=123
  match 136 seat1: winner=0 turns=20 selects=138
  match 137 seat0: winner=0 turns=9 selects=76
  match 137 seat1: winner=0 turns=19 selects=122
  match 138 seat0: winner=0 turns=9 selects=76
  match 138 seat1: winner=0 turns=28 selects=142
  match 139 seat0: winner=0 turns=7 selects=63
  match 139 seat1: winner=0 turns=17 selects=129
  match 140 seat0: winner=0 turns=27 selects=148
  match 140 seat1: winner=1 turns=15 selects=99
  match 141 seat0: winner=0 turns=11 selects=89
  match 141 seat1: winner=1 turns=15 selects=98
  match 142 seat0: winner=0 turns=13 selects=94
  match 142 seat1: winner=1 turns=17 selects=125
  match 143 seat0: winner=1 turns=27 selects=150
  match 143 seat1: winner=0 turns=21 selects=148
  match 144 seat0: winner=0 turns=13 selects=98
  match 144 seat1: winner=1 turns=15 selects=104
  match 145 seat0: winner=1 turns=19 selects=130
  match 145 seat1: winner=1 turns=17 selects=128
  match 146 seat0: winner=1 turns=21 selects=146
  match 146 seat1: winner=0 turns=17 selects=111
  match 147 seat0: winner=1 turns=19 selects=132
  match 147 seat1: winner=0 turns=17 selects=112
  match 148 seat0: winner=1 turns=17 selects=110
  match 148 seat1: winner=0 turns=20 selects=115
  match 149 seat0: winner=1 turns=19 selects=129
  match 149 seat1: winner=1 turns=13 selects=100
  match 150 seat0: winner=1 turns=19 selects=112
  match 150 seat1: winner=1 turns=15 selects=130
  match 151 seat0: winner=0 turns=7 selects=55
  match 151 seat1: winner=0 turns=19 selects=135
  match 152 seat0: winner=1 turns=25 selects=173
  match 152 seat1: winner=0 turns=21 selects=133
  match 153 seat0: winner=0 turns=9 selects=72
  match 153 seat1: winner=0 turns=17 selects=111
  match 154 seat0: winner=1 turns=22 selects=94
  match 154 seat1: winner=0 turns=15 selects=94
  match 155 seat0: winner=1 turns=22 selects=164
  match 155 seat1: winner=0 turns=25 selects=151
  match 156 seat0: winner=0 turns=13 selects=80
  match 156 seat1: winner=1 turns=19 selects=114
  match 157 seat0: winner=0 turns=11 selects=89
  match 157 seat1: winner=0 turns=16 selects=50
  match 158 seat0: winner=1 turns=19 selects=105
  match 158 seat1: winner=1 turns=11 selects=86
  match 159 seat0: winner=1 turns=19 selects=132
  match 159 seat1: winner=0 turns=19 selects=98
  match 160 seat0: winner=1 turns=17 selects=110
  match 160 seat1: winner=0 turns=19 selects=117
  match 161 seat0: winner=0 turns=7 selects=62
  match 161 seat1: winner=1 turns=11 selects=82
  match 162 seat0: winner=1 turns=26 selects=176
  match 162 seat1: winner=0 turns=15 selects=89
  match 163 seat0: winner=0 turns=13 selects=51
  match 163 seat1: winner=1 turns=9 selects=72
  match 164 seat0: winner=0 turns=11 selects=95
  match 164 seat1: winner=1 turns=21 selects=130
  match 165 seat0: winner=0 turns=11 selects=78
  match 165 seat1: winner=1 turns=11 selects=87
  match 166 seat0: winner=1 turns=19 selects=127
  match 166 seat1: winner=1 turns=7 selects=62
  match 167 seat0: winner=0 turns=13 selects=91
  match 167 seat1: winner=1 turns=17 selects=92
  match 168 seat0: winner=0 turns=15 selects=119
  match 168 seat1: winner=0 turns=21 selects=131
  match 169 seat0: winner=0 turns=19 selects=122
  match 169 seat1: winner=0 turns=24 selects=145
  match 170 seat0: winner=1 turns=17 selects=123
  match 170 seat1: winner=0 turns=20 selects=132
  match 171 seat0: winner=0 turns=13 selects=96
  match 171 seat1: winner=1 turns=7 selects=63
  match 172 seat0: winner=1 turns=16 selects=78
  match 172 seat1: winner=0 turns=23 selects=140
  match 173 seat0: winner=1 turns=17 selects=117
  match 173 seat1: winner=1 turns=21 selects=136
  match 174 seat0: winner=0 turns=13 selects=100
  match 174 seat1: winner=0 turns=25 selects=140
  match 175 seat0: winner=0 turns=11 selects=83
  match 175 seat1: winner=1 turns=7 selects=47
  match 176 seat0: winner=0 turns=13 selects=90
  match 176 seat1: winner=0 turns=17 selects=107
  match 177 seat0: winner=0 turns=15 selects=105
  match 177 seat1: winner=0 turns=15 selects=128
  match 178 seat0: winner=0 turns=9 selects=71
  match 178 seat1: winner=1 turns=13 selects=85
  match 179 seat0: winner=1 turns=21 selects=125
  match 179 seat1: winner=0 turns=26 selects=146
  match 180 seat0: winner=1 turns=19 selects=125
  match 180 seat1: winner=0 turns=33 selects=165
  match 181 seat0: winner=0 turns=9 selects=74
  match 181 seat1: winner=0 turns=21 selects=156
  match 182 seat0: winner=1 turns=13 selects=94
  match 182 seat1: winner=1 turns=11 selects=104
  match 183 seat0: winner=1 turns=17 selects=119
  match 183 seat1: winner=0 turns=18 selects=94
  match 184 seat0: winner=0 turns=5 selects=40
  match 184 seat1: winner=1 turns=9 selects=59
  match 185 seat0: winner=0 turns=11 selects=91
  match 185 seat1: winner=0 turns=17 selects=104
  match 186 seat0: winner=1 turns=23 selects=155
  match 186 seat1: winner=1 turns=13 selects=85
  match 187 seat0: winner=0 turns=15 selects=92
  match 187 seat1: winner=1 turns=21 selects=147
  match 188 seat0: winner=0 turns=13 selects=73
  match 188 seat1: winner=0 turns=27 selects=165
  match 189 seat0: winner=0 turns=11 selects=76
  match 189 seat1: winner=0 turns=18 selects=123
  match 190 seat0: winner=0 turns=13 selects=90
