=== gar@cynthia_garchomp vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs bc:v5s2,net=out/policy_v5_s2.npz,noChip,noSpread,noSrc#4790c469 [grimmsnarl], 200 paired matches (400 games)...
  match 150 seat0: winner=1 turns=16 selects=191
  match 150 seat1: winner=0 turns=21 selects=160
  match 151 seat0: winner=1 turns=12 selects=186
  match 151 seat1: winner=1 turns=12 selects=182
  match 152 seat0: winner=1 turns=12 selects=179
  match 152 seat1: winner=0 turns=11 selects=130
  match 153 seat0: winner=0 turns=13 selects=206
  match 153 seat1: winner=0 turns=15 selects=232
  match 154 seat0: winner=1 turns=12 selects=170
  match 154 seat1: winner=0 turns=11 selects=139
  match 155 seat0: winner=0 turns=13 selects=155
  match 155 seat1: winner=1 turns=14 selects=124
  match 156 seat0: winner=0 turns=17 selects=194
  match 156 seat1: winner=0 turns=13 selects=144
  match 157 seat0: winner=0 turns=15 selects=120
  match 157 seat1: winner=0 turns=13 selects=179
  match 158 seat0: winner=1 turns=16 selects=216
  match 158 seat1: winner=0 turns=13 selects=144
  match 159 seat0: winner=0 turns=11 selects=138
  match 159 seat1: winner=0 turns=13 selects=197
  match 160 seat0: winner=1 turns=10 selects=83
  match 160 seat1: winner=0 turns=13 selects=171
  match 161 seat0: winner=1 turns=16 selects=198
  match 161 seat1: winner=1 turns=12 selects=162
  match 162 seat0: winner=1 turns=16 selects=213
  match 162 seat1: winner=0 turns=11 selects=135
  match 163 seat0: winner=1 turns=12 selects=196
  match 163 seat1: winner=0 turns=13 selects=146
  match 164 seat0: winner=0 turns=11 selects=165
  match 164 seat1: winner=1 turns=14 selects=123
  match 165 seat0: winner=1 turns=16 selects=180
  match 165 seat1: winner=1 turns=16 selects=187
  match 166 seat0: winner=0 turns=11 selects=153
  match 166 seat1: winner=0 turns=13 selects=193
  match 167 seat0: winner=0 turns=19 selects=240
  match 167 seat1: winner=0 turns=11 selects=175
  match 168 seat0: winner=1 turns=16 selects=188
  match 168 seat1: winner=1 turns=14 selects=157
  match 169 seat0: winner=0 turns=21 selects=173
  match 169 seat1: winner=0 turns=11 selects=173
  match 170 seat0: winner=1 turns=14 selects=231
  match 170 seat1: winner=0 turns=21 selects=228
  match 171 seat0: winner=0 turns=13 selects=152
