=== oger@teal_mask_ogerpon vs rule:crustle@crustle_v1 matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulecrustle_crustle_v1.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eacae-a83f02; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:crustle@crustle_v1 [crustle_v1], 200 paired matches (400 games)...
  match 124 seat0: winner=1 turns=22 selects=132
  match 124 seat1: winner=0 turns=19 selects=130
  match 125 seat0: winner=1 turns=22 selects=142
  match 125 seat1: winner=0 turns=22 selects=138
  match 126 seat0: winner=1 turns=22 selects=134
  match 126 seat1: winner=0 turns=22 selects=135
  match 127 seat0: winner=1 turns=22 selects=130
  match 127 seat1: winner=0 turns=23 selects=131
  match 128 seat0: winner=1 turns=17 selects=120
  match 128 seat1: winner=0 turns=24 selects=129
  match 129 seat0: winner=1 turns=20 selects=115
  match 129 seat1: winner=0 turns=22 selects=132
  match 130 seat0: winner=1 turns=26 selects=149
  match 130 seat1: winner=0 turns=23 selects=132
  match 131 seat0: winner=1 turns=20 selects=126
  match 131 seat1: winner=0 turns=17 selects=130
  match 132 seat0: winner=1 turns=23 selects=145
  match 132 seat1: winner=0 turns=20 selects=139
  match 133 seat0: winner=1 turns=20 selects=132
  match 133 seat1: winner=0 turns=18 selects=120
  match 134 seat0: winner=1 turns=20 selects=125
  match 134 seat1: winner=0 turns=27 selects=130
  match 135 seat0: winner=1 turns=18 selects=129
  match 135 seat1: winner=0 turns=21 selects=127
  match 136 seat0: winner=1 turns=23 selects=116
  match 136 seat1: winner=0 turns=19 selects=128
  match 137 seat0: winner=1 turns=24 selects=148
  match 137 seat1: winner=0 turns=24 selects=133
  match 138 seat0: winner=1 turns=32 selects=138
  match 138 seat1: winner=0 turns=20 selects=127
  match 139 seat0: winner=1 turns=22 selects=132
  match 139 seat1: winner=0 turns=21 selects=140
  match 140 seat0: winner=1 turns=24 selects=138
  match 140 seat1: winner=0 turns=20 selects=115
  match 141 seat0: winner=1 turns=18 selects=117
  match 141 seat1: winner=0 turns=20 selects=135
  match 142 seat0: winner=1 turns=24 selects=146
  match 142 seat1: winner=0 turns=20 selects=115
  match 143 seat0: winner=1 turns=8 selects=56
  match 143 seat1: winner=0 turns=20 selects=132
  match 144 seat0: winner=1 turns=19 selects=130
  match 144 seat1: winner=0 turns=17 selects=123
  match 145 seat0: winner=1 turns=19 selects=126
  match 145 seat1: winner=0 turns=21 selects=133
  match 146 seat0: winner=1 turns=15 selects=115
  match 146 seat1: winner=0 turns=17 selects=123
  match 147 seat0: winner=1 turns=17 selects=112
  match 147 seat1: winner=0 turns=17 selects=121
  match 148 seat0: winner=1 turns=22 selects=105
  match 148 seat1: winner=0 turns=22 selects=139
  match 149 seat0: winner=1 turns=22 selects=137
  match 149 seat1: winner=0 turns=20 selects=117
  match 150 seat0: winner=1 turns=12 selects=85
  match 150 seat1: winner=0 turns=25 selects=128
  match 151 seat0: winner=1 turns=21 selects=132
  match 151 seat1: winner=0 turns=20 selects=125
  match 152 seat0: winner=1 turns=26 selects=93
  match 152 seat1: winner=0 turns=20 selects=123
  match 153 seat0: winner=1 turns=20 selects=121
  match 153 seat1: winner=0 turns=19 selects=129
  match 154 seat0: winner=1 turns=20 selects=129
  match 154 seat1: winner=0 turns=22 selects=143
  match 155 seat0: winner=1 turns=20 selects=105
  match 155 seat1: winner=0 turns=22 selects=118
