=== ala@alakazam5 vs rule:crustle@crustle_v1 matches=200 ===
  match 120 seat0: winner=0 turns=9 selects=69
  match 120 seat1: winner=1 turns=3 selects=32
  match 121 seat0: winner=0 turns=23 selects=96
  match 121 seat1: winner=1 turns=11 selects=64
  match 122 seat0: winner=0 turns=5 selects=44
  match 122 seat1: winner=1 turns=13 selects=78
  match 123 seat0: winner=0 turns=9 selects=67
  match 123 seat1: winner=1 turns=5 selects=35
  match 124 seat0: winner=0 turns=19 selects=86
  match 124 seat1: winner=1 turns=3 selects=29
  match 125 seat0: winner=0 turns=7 selects=52
  match 125 seat1: winner=1 turns=9 selects=65
  match 126 seat0: winner=0 turns=3 selects=30
  match 126 seat1: winner=1 turns=11 selects=70
  match 127 seat0: winner=0 turns=3 selects=26
  match 127 seat1: winner=1 turns=13 selects=84
  match 128 seat0: winner=1 turns=24 selects=118
  match 128 seat1: winner=1 turns=9 selects=79
  match 129 seat0: winner=0 turns=5 selects=51
  match 129 seat1: winner=1 turns=11 selects=80
  match 130 seat0: winner=0 turns=9 selects=71
  match 130 seat1: winner=1 turns=9 selects=76
  match 131 seat0: winner=0 turns=3 selects=34
  match 131 seat1: winner=1 turns=3 selects=34
  match 132 seat0: winner=0 turns=3 selects=30
  match 132 seat1: winner=1 turns=5 selects=40
  match 133 seat0: winner=0 turns=9 selects=60
  match 133 seat1: winner=1 turns=3 selects=30
  match 134 seat0: winner=0 turns=3 selects=24
  match 134 seat1: winner=1 turns=3 selects=31
  match 135 seat0: winner=0 turns=13 selects=86
  match 135 seat1: winner=1 turns=5 selects=54
  match 136 seat0: winner=0 turns=13 selects=75
  match 136 seat1: winner=1 turns=3 selects=30
  match 137 seat0: winner=0 turns=9 selects=60
  match 137 seat1: winner=1 turns=3 selects=34
  match 138 seat0: winner=0 turns=5 selects=38
  match 138 seat1: winner=1 turns=3 selects=32
  match 139 seat0: winner=0 turns=5 selects=54
  match 139 seat1: winner=1 turns=9 selects=65
  match 140 seat0: winner=0 turns=11 selects=71
  match 140 seat1: winner=1 turns=3 selects=32
  match 141 seat0: winner=0 turns=5 selects=39
  match 141 seat1: winner=1 turns=5 selects=42
  match 142 seat0: winner=0 turns=9 selects=69
  match 142 seat1: winner=1 turns=7 selects=64
  match 143 seat0: winner=0 turns=5 selects=38
  match 143 seat1: winner=1 turns=3 selects=27
  match 144 seat0: winner=0 turns=3 selects=29
  match 144 seat1: winner=1 turns=5 selects=39
  match 145 seat0: winner=0 turns=13 selects=89
  match 145 seat1: winner=1 turns=11 selects=83
  match 146 seat0: winner=0 turns=9 selects=69
  match 146 seat1: winner=1 turns=9 selects=52
  match 147 seat0: winner=0 turns=9 selects=61
  match 147 seat1: winner=0 turns=27 selects=127
  match 148 seat0: winner=0 turns=19 selects=124
  match 148 seat1: winner=1 turns=5 selects=44
  match 149 seat0: winner=0 turns=3 selects=28
  match 149 seat1: winner=1 turns=9 selects=72
  match 150 seat0: winner=0 turns=5 selects=34
  match 150 seat1: winner=1 turns=7 selects=52
  match 151 seat0: winner=0 turns=5 selects=48
  match 151 seat1: winner=1 turns=17 selects=103
  match 152 seat0: winner=0 turns=11 selects=71
  match 152 seat1: winner=1 turns=11 selects=68
  match 153 seat0: winner=0 turns=5 selects=43
  match 153 seat1: winner=1 turns=3 selects=30
  match 154 seat0: winner=0 turns=15 selects=94
  match 154 seat1: winner=1 turns=9 selects=60
  match 155 seat0: winner=0 turns=11 selects=63
  match 155 seat1: winner=1 turns=5 selects=47
  match 156 seat0: winner=0 turns=11 selects=61
  match 156 seat1: winner=1 turns=3 selects=32
  match 157 seat0: winner=0 turns=13 selects=98
  match 157 seat1: winner=1 turns=3 selects=30
  match 158 seat0: winner=0 turns=3 selects=32
  match 158 seat1: winner=1 turns=9 selects=65
  match 159 seat0: winner=0 turns=15 selects=101
  match 159 seat1: winner=1 turns=3 selects=27
  match 160 seat0: winner=0 turns=5 selects=43
  match 160 seat1: winner=1 turns=3 selects=37
  match 161 seat0: winner=0 turns=11 selects=71
  match 161 seat1: winner=1 turns=9 selects=65
  match 162 seat0: winner=1 turns=19 selects=106
  match 162 seat1: winner=1 turns=5 selects=47
  match 163 seat0: winner=0 turns=15 selects=87
  match 163 seat1: winner=0 turns=23 selects=116
  match 164 seat0: winner=0 turns=3 selects=34
  match 164 seat1: winner=1 turns=3 selects=40
  match 165 seat0: winner=0 turns=9 selects=60
  match 165 seat1: winner=1 turns=5 selects=42
  match 166 seat0: winner=1 turns=23 selects=134
  match 166 seat1: winner=1 turns=7 selects=53
  match 167 seat0: winner=0 turns=9 selects=66
  match 167 seat1: winner=1 turns=3 selects=33
  match 168 seat0: winner=1 turns=6 selects=20
  match 168 seat1: winner=1 turns=5 selects=46
  match 169 seat0: winner=1 turns=26 selects=122
  match 169 seat1: winner=0 turns=42 selects=208
  match 170 seat0: winner=0 turns=7 selects=59
  match 170 seat1: winner=1 turns=5 selects=43
  match 171 seat0: winner=0 turns=3 selects=27
  match 171 seat1: winner=1 turns=5 selects=59
  match 172 seat0: winner=0 turns=7 selects=68
  match 172 seat1: winner=1 turns=9 selects=66
  match 173 seat0: winner=0 turns=5 selects=38
  match 173 seat1: winner=1 turns=3 selects=38
  match 174 seat0: winner=0 turns=15 selects=81
  match 174 seat1: winner=1 turns=9 selects=68
  match 175 seat0: winner=0 turns=7 selects=65
  match 175 seat1: winner=1 turns=11 selects=72
  match 176 seat0: winner=0 turns=9 selects=58
  match 176 seat1: winner=1 turns=5 selects=41
  match 177 seat0: winner=0 turns=9 selects=59
  match 177 seat1: winner=1 turns=7 selects=56
  match 178 seat0: winner=0 turns=5 selects=49
  match 178 seat1: winner=1 turns=11 selects=63
  match 179 seat0: winner=0 turns=3 selects=25
  match 179 seat1: winner=1 turns=9 selects=53
  match 180 seat0: winner=0 turns=9 selects=68
  match 180 seat1: winner=1 turns=7 selects=53
  match 181 seat0: winner=0 turns=3 selects=35
  match 181 seat1: winner=1 turns=3 selects=33
  match 182 seat0: winner=0 turns=7 selects=56
  match 182 seat1: winner=1 turns=11 selects=82
  match 183 seat0: winner=0 turns=3 selects=22
  match 183 seat1: winner=1 turns=9 selects=64
  match 184 seat0: winner=0 turns=7 selects=39
  match 184 seat1: winner=1 turns=3 selects=31
  match 185 seat0: winner=0 turns=5 selects=38
  match 185 seat1: winner=1 turns=13 selects=72
  match 186 seat0: winner=0 turns=9 selects=56
  match 186 seat1: winner=1 turns=7 selects=45
  match 187 seat0: winner=0 turns=3 selects=29
  match 187 seat1: winner=1 turns=3 selects=27
  match 188 seat0: winner=0 turns=19 selects=103
  match 188 seat1: winner=1 turns=11 selects=71
  match 189 seat0: winner=0 turns=3 selects=32
  match 189 seat1: winner=1 turns=5 selects=40
  match 190 seat0: winner=0 turns=11 selects=73
  match 190 seat1: winner=1 turns=5 selects=39
