=== luc@lucario_v10 vs rule:alakazam5@alakazam5 matches=200 ===
⚠ p100_luc_lucario_v10_vs_rulealakazam5_alakazam5.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ea91a-1c2569; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [lucario_v10] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 164 seat0: winner=0 turns=15 selects=165
  match 164 seat1: winner=0 turns=11 selects=126
  match 165 seat0: winner=1 turns=10 selects=139
  match 165 seat1: winner=0 turns=9 selects=128
  match 166 seat0: winner=1 turns=12 selects=140
  match 166 seat1: winner=0 turns=9 selects=118
  match 167 seat0: winner=1 turns=16 selects=185
  match 167 seat1: winner=1 turns=14 selects=139
  match 168 seat0: winner=0 turns=13 selects=140
  match 168 seat1: winner=0 turns=7 selects=123
  match 169 seat0: winner=0 turns=15 selects=142
  match 169 seat1: winner=0 turns=9 selects=129
  match 170 seat0: winner=1 turns=14 selects=137
  match 170 seat1: winner=0 turns=11 selects=97
  match 171 seat0: winner=1 turns=12 selects=153
  match 171 seat1: winner=0 turns=15 selects=128
  match 172 seat0: winner=1 turns=10 selects=133
  match 172 seat1: winner=0 turns=11 selects=149
  match 173 seat0: winner=1 turns=10 selects=143
  match 173 seat1: winner=0 turns=17 selects=155
  match 174 seat0: winner=1 turns=10 selects=107
  match 174 seat1: winner=1 turns=19 selects=103
  match 175 seat0: winner=1 turns=12 selects=164
  match 175 seat1: winner=0 turns=13 selects=137
  match 176 seat0: winner=0 turns=5 selects=30
  match 176 seat1: winner=0 turns=9 selects=134
  match 177 seat0: winner=0 turns=13 selects=154
  match 177 seat1: winner=0 turns=27 selects=153
  match 178 seat0: winner=1 turns=12 selects=159
  match 178 seat1: winner=1 turns=16 selects=162
  match 179 seat0: winner=0 turns=11 selects=140
  match 179 seat1: winner=1 turns=12 selects=141
  match 180 seat0: winner=1 turns=12 selects=155
  match 180 seat1: winner=0 turns=13 selects=106
  match 181 seat0: winner=1 turns=10 selects=137
  match 181 seat1: winner=0 turns=13 selects=113
  match 182 seat0: winner=1 turns=10 selects=116
  match 182 seat1: winner=1 turns=14 selects=140
  match 183 seat0: winner=1 turns=10 selects=139
  match 183 seat1: winner=1 turns=12 selects=106
  match 184 seat0: winner=0 turns=11 selects=132
  match 184 seat1: winner=0 turns=13 selects=170
  match 185 seat0: winner=0 turns=13 selects=146
  match 185 seat1: winner=0 turns=16 selects=147
  match 186 seat0: winner=0 turns=13 selects=133
  match 186 seat1: winner=0 turns=14 selects=140
  match 187 seat0: winner=1 turns=12 selects=125
  match 187 seat1: winner=0 turns=11 selects=149
  match 188 seat0: winner=0 turns=11 selects=142
  match 188 seat1: winner=0 turns=9 selects=139
  match 189 seat0: winner=0 turns=12 selects=139
  match 189 seat1: winner=0 turns=11 selects=143
  match 190 seat0: winner=1 turns=12 selects=120
  match 190 seat1: winner=0 turns=11 selects=71
  match 191 seat0: winner=0 turns=11 selects=121
  match 191 seat1: winner=0 turns=9 selects=119
  match 192 seat0: winner=0 turns=11 selects=133
  match 192 seat1: winner=1 turns=2 selects=26
  match 193 seat0: winner=0 turns=5 selects=51
  match 193 seat1: winner=0 turns=15 selects=133
  match 194 seat0: winner=0 turns=13 selects=143
  match 194 seat1: winner=0 turns=9 selects=132
  match 195 seat0: winner=1 turns=10 selects=134
  match 195 seat1: winner=1 turns=16 selects=155
  match 196 seat0: winner=1 turns=10 selects=129
  match 196 seat1: winner=1 turns=12 selects=134
  match 197 seat0: winner=0 turns=16 selects=149
  match 197 seat1: winner=1 turns=10 selects=123
  match 198 seat0: winner=1 turns=8 selects=119
  match 198 seat1: winner=1 turns=10 selects=71
  match 199 seat0: winner=1 turns=14 selects=163
  match 199 seat1: winner=0 turns=13 selects=86

A=bc:luc,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.416 [0.369, 0.465] W166/D1/L233 over 400 games
  as P0: W/D/L=(92, 1, 107)  as P1: W/D/L=(74, 0, 126)
  elapsed 54.3s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_luc_lucario_v10_vs_rulealakazam5_alakazam5.jsonl
  [health] OK calls=24206 fallbacks=0 net_missing=0 deck=400
