=== gar@cynthia_garchomp vs rule:alakazam5@alakazam5 matches=200 ===
bc:gar,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [cynthia_garchomp] vs rule:alakazam5@alakazam5 [alakazam5], 200 paired matches (400 games)...
  match 151 seat0: winner=1 turns=22 selects=176
  match 151 seat1: winner=1 turns=18 selects=152
  match 152 seat0: winner=0 turns=23 selects=167
  match 152 seat1: winner=1 turns=22 selects=179
  match 153 seat0: winner=0 turns=28 selects=167
  match 153 seat1: winner=0 turns=11 selects=149
  match 154 seat0: winner=0 turns=18 selects=199
  match 154 seat1: winner=1 turns=23 selects=151
  match 155 seat0: winner=1 turns=12 selects=154
  match 155 seat1: winner=1 turns=16 selects=148
  match 156 seat0: winner=0 turns=18 selects=164
  match 156 seat1: winner=1 turns=19 selects=161
  match 157 seat0: winner=0 turns=17 selects=175
  match 157 seat1: winner=0 turns=9 selects=129
  match 158 seat0: winner=1 turns=18 selects=171
  match 158 seat1: winner=0 turns=11 selects=123
  match 159 seat0: winner=0 turns=15 selects=173
  match 159 seat1: winner=1 turns=20 selects=163
  match 160 seat0: winner=0 turns=18 selects=184
  match 160 seat1: winner=0 turns=9 selects=147
  match 161 seat0: winner=0 turns=16 selects=150
  match 161 seat1: winner=0 turns=11 selects=158
  match 162 seat0: winner=0 turns=23 selects=176
  match 162 seat1: winner=1 turns=26 selects=156
  match 163 seat0: winner=0 turns=20 selects=147
  match 163 seat1: winner=1 turns=33 selects=153
  match 164 seat0: winner=0 turns=17 selects=182
  match 164 seat1: winner=1 turns=17 selects=194
  match 165 seat0: winner=0 turns=15 selects=156
  match 165 seat1: winner=1 turns=18 selects=163
  match 166 seat0: winner=1 turns=16 selects=160
  match 166 seat1: winner=1 turns=22 selects=176
  match 167 seat0: winner=0 turns=21 selects=179
  match 167 seat1: winner=1 turns=14 selects=138
  match 168 seat0: winner=1 turns=10 selects=141
  match 168 seat1: winner=1 turns=21 selects=190
  match 169 seat0: winner=1 turns=16 selects=197
  match 169 seat1: winner=1 turns=16 selects=167
  match 170 seat0: winner=0 turns=16 selects=162
  match 170 seat1: winner=1 turns=4 selects=39
  match 171 seat0: winner=0 turns=15 selects=168
  match 171 seat1: winner=1 turns=16 selects=129
  match 172 seat0: winner=0 turns=18 selects=204
  match 172 seat1: winner=1 turns=18 selects=180
  match 173 seat0: winner=0 turns=17 selects=173
  match 173 seat1: winner=0 turns=13 selects=148
  match 174 seat0: winner=0 turns=17 selects=186
  match 174 seat1: winner=1 turns=21 selects=167
  match 175 seat0: winner=0 turns=15 selects=145
  match 175 seat1: winner=0 turns=11 selects=121
  match 176 seat0: winner=1 turns=12 selects=148
  match 176 seat1: winner=1 turns=18 selects=197
  match 177 seat0: winner=1 turns=26 selects=187
  match 177 seat1: winner=1 turns=16 selects=158
  match 178 seat0: winner=1 turns=16 selects=190
  match 178 seat1: winner=0 turns=13 selects=101
  match 179 seat0: winner=1 turns=12 selects=141
  match 179 seat1: winner=1 turns=21 selects=168
  match 180 seat0: winner=0 turns=22 selects=157
  match 180 seat1: winner=1 turns=20 selects=188
  match 181 seat0: winner=0 turns=13 selects=102
  match 181 seat1: winner=0 turns=15 selects=165
  match 182 seat0: winner=0 turns=24 selects=189
  match 182 seat1: winner=0 turns=15 selects=169
  match 183 seat0: winner=0 turns=15 selects=141
  match 183 seat1: winner=0 turns=17 selects=167
  match 184 seat0: winner=0 turns=19 selects=210
  match 184 seat1: winner=1 turns=19 selects=195
  match 185 seat0: winner=0 turns=15 selects=131
  match 185 seat1: winner=1 turns=8 selects=70
  match 186 seat0: winner=1 turns=14 selects=146
  match 186 seat1: winner=1 turns=21 selects=173
  match 187 seat0: winner=0 turns=19 selects=173
  match 187 seat1: winner=1 turns=19 selects=152
  match 188 seat0: winner=0 turns=17 selects=157
  match 188 seat1: winner=0 turns=19 selects=183
  match 189 seat0: winner=0 turns=20 selects=177
  match 189 seat1: winner=0 turns=13 selects=118
  match 190 seat0: winner=0 turns=17 selects=188
  match 190 seat1: winner=0 turns=15 selects=164
  match 191 seat0: winner=0 turns=21 selects=161
  match 191 seat1: winner=0 turns=11 selects=141
  match 192 seat0: winner=1 turns=12 selects=114
  match 192 seat1: winner=1 turns=16 selects=191
  match 193 seat0: winner=0 turns=13 selects=142
  match 193 seat1: winner=1 turns=18 selects=178
