=== oger@teal_mask_ogerpon vs rule:archaludon@archaludon_ex matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_rulearchaludon_archaludon_ex.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7ead4a-21073c; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs rule:archaludon@archaludon_ex [archaludon_ex], 200 paired matches (400 games)...
  match 168 seat0: winner=1 turns=10 selects=131
  match 168 seat1: winner=0 turns=14 selects=146
  match 169 seat0: winner=1 turns=12 selects=140
  match 169 seat1: winner=0 turns=10 selects=150
  match 170 seat0: winner=0 turns=13 selects=129
  match 170 seat1: winner=0 turns=8 selects=107
  match 171 seat0: winner=1 turns=10 selects=125
  match 171 seat1: winner=1 turns=13 selects=142
  match 172 seat0: winner=0 turns=9 selects=103
  match 172 seat1: winner=1 turns=9 selects=79
  match 173 seat0: winner=1 turns=6 selects=62
  match 173 seat1: winner=0 turns=10 selects=120
  match 174 seat0: winner=1 turns=10 selects=120
  match 174 seat1: winner=1 turns=5 selects=68
  match 175 seat0: winner=0 turns=3 selects=35
  match 175 seat1: winner=0 turns=8 selects=119
  match 176 seat0: winner=0 turns=9 selects=74
  match 176 seat1: winner=0 turns=8 selects=78
  match 177 seat0: winner=1 turns=4 selects=46
  match 177 seat1: winner=0 turns=4 selects=39
  match 178 seat0: winner=1 turns=8 selects=104
  match 178 seat1: winner=1 turns=9 selects=96
  match 179 seat0: winner=1 turns=8 selects=94
  match 179 seat1: winner=1 turns=15 selects=145
  match 180 seat0: winner=1 turns=12 selects=154
  match 180 seat1: winner=1 turns=15 selects=151
  match 181 seat0: winner=1 turns=4 selects=50
  match 181 seat1: winner=0 turns=8 selects=102
  match 182 seat0: winner=0 turns=5 selects=51
  match 182 seat1: winner=1 turns=11 selects=107
  match 183 seat0: winner=0 turns=7 selects=90
  match 183 seat1: winner=1 turns=13 selects=142
  match 184 seat0: winner=0 turns=11 selects=94
  match 184 seat1: winner=0 turns=12 selects=155
  match 185 seat0: winner=1 turns=6 selects=75
  match 185 seat1: winner=0 turns=10 selects=115
  match 186 seat0: winner=1 turns=10 selects=116
  match 186 seat1: winner=0 turns=12 selects=155
  match 187 seat0: winner=1 turns=10 selects=142
  match 187 seat1: winner=1 turns=13 selects=140
  match 188 seat0: winner=1 turns=8 selects=109
  match 188 seat1: winner=0 turns=12 selects=136
  match 189 seat0: winner=1 turns=8 selects=97
  match 189 seat1: winner=1 turns=13 selects=158
  match 190 seat0: winner=0 turns=13 selects=142
  match 190 seat1: winner=1 turns=13 selects=118
  match 191 seat0: winner=1 turns=14 selects=167
  match 191 seat1: winner=0 turns=12 selects=145
  match 192 seat0: winner=1 turns=10 selects=140
  match 192 seat1: winner=1 turns=11 selects=78
  match 193 seat0: winner=1 turns=12 selects=142
  match 193 seat1: winner=0 turns=14 selects=161
  match 194 seat0: winner=1 turns=10 selects=120
  match 194 seat1: winner=1 turns=13 selects=120
  match 195 seat0: winner=0 turns=13 selects=108
  match 195 seat1: winner=0 turns=8 selects=81
  match 196 seat0: winner=1 turns=10 selects=119
  match 196 seat1: winner=1 turns=9 selects=111
  match 197 seat0: winner=1 turns=12 selects=124
  match 197 seat1: winner=1 turns=13 selects=87
  match 198 seat0: winner=1 turns=10 selects=124
  match 198 seat1: winner=1 turns=11 selects=91
  match 199 seat0: winner=0 turns=17 selects=131
  match 199 seat1: winner=0 turns=8 selects=103

A=bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff: score=0.388 [0.341, 0.436] W155/D0/L245 over 400 games
  as P0: W/D/L=(79, 0, 121)  as P1: W/D/L=(76, 0, 124)
  elapsed 55.8s; archived 400 rows -> E:\Kaggle\pokemon-tcg-simulation-2\out\arena\p100_oger_teal_mask_ogerpon_vs_rulearchaludon_archaludon_ex.jsonl
  [health] OK calls=25613 fallbacks=0 net_missing=0 deck=400
