=== oger@teal_mask_ogerpon vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc@grimmsnarl matches=200 ===
⚠ p100_oger_teal_mask_ogerpon_vs_bcall_grimmsnarl.jsonl ALREADY HOLDS 4 games of this exact cell.
  Appending. This run is tagged run=6a7eae3c-9ae6f7; anything re-derived from this
  file without splitting on `run` pools two separate measurements.
bc:oger,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [teal_mask_ogerpon] vs bc:all,net=out/policy_v5_s2_all.npz,noChip,noSpread,noSrc#8b40a9ff [grimmsnarl], 200 paired matches (400 games)...
  match 118 seat1: winner=1 turns=10 selects=162
  match 119 seat0: winner=0 turns=13 selects=109
  match 119 seat1: winner=1 turns=10 selects=168
  match 120 seat0: winner=0 turns=9 selects=137
  match 120 seat1: winner=1 turns=8 selects=134
  match 121 seat0: winner=0 turns=11 selects=176
  match 121 seat1: winner=0 turns=7 selects=104
  match 122 seat0: winner=0 turns=11 selects=158
  match 122 seat1: winner=1 turns=10 selects=153
  match 123 seat0: winner=1 turns=6 selects=63
  match 123 seat1: winner=1 turns=10 selects=137
  match 124 seat0: winner=0 turns=9 selects=127
  match 124 seat1: winner=1 turns=8 selects=124
  match 125 seat0: winner=0 turns=11 selects=156
  match 125 seat1: winner=1 turns=10 selects=120
  match 126 seat0: winner=0 turns=9 selects=130
  match 126 seat1: winner=1 turns=14 selects=169
  match 127 seat0: winner=0 turns=11 selects=168
  match 127 seat1: winner=1 turns=10 selects=164
  match 128 seat0: winner=0 turns=13 selects=137
  match 128 seat1: winner=1 turns=10 selects=171
  match 129 seat0: winner=0 turns=11 selects=160
  match 129 seat1: winner=1 turns=12 selects=139
  match 130 seat0: winner=1 turns=6 selects=90
  match 130 seat1: winner=1 turns=14 selects=173
  match 131 seat0: winner=0 turns=11 selects=128
  match 131 seat1: winner=1 turns=10 selects=118
  match 132 seat0: winner=1 turns=5 selects=67
  match 132 seat1: winner=1 turns=10 selects=107
  match 133 seat0: winner=0 turns=13 selects=147
  match 133 seat1: winner=0 turns=5 selects=55
  match 134 seat0: winner=0 turns=11 selects=160
  match 134 seat1: winner=0 turns=5 selects=80
  match 135 seat0: winner=0 turns=9 selects=139
  match 135 seat1: winner=1 turns=12 selects=94
  match 136 seat0: winner=0 turns=9 selects=126
  match 136 seat1: winner=0 turns=7 selects=122
  match 137 seat0: winner=0 turns=11 selects=129
  match 137 seat1: winner=1 turns=10 selects=140
  match 138 seat0: winner=0 turns=9 selects=137
  match 138 seat1: winner=1 turns=12 selects=176
  match 139 seat0: winner=0 turns=9 selects=111
  match 139 seat1: winner=1 turns=10 selects=118
  match 140 seat0: winner=0 turns=9 selects=154
  match 140 seat1: winner=1 turns=12 selects=168
  match 141 seat0: winner=0 turns=9 selects=148
  match 141 seat1: winner=1 turns=10 selects=154
  match 142 seat0: winner=0 turns=9 selects=146
  match 142 seat1: winner=1 turns=12 selects=142
  match 143 seat0: winner=1 turns=6 selects=101
  match 143 seat1: winner=1 turns=12 selects=156
  match 144 seat0: winner=0 turns=11 selects=138
  match 144 seat1: winner=0 turns=5 selects=70
  match 145 seat0: winner=0 turns=9 selects=147
  match 145 seat1: winner=1 turns=10 selects=120
  match 146 seat0: winner=0 turns=11 selects=142
  match 146 seat1: winner=1 turns=10 selects=148
  match 147 seat0: winner=0 turns=11 selects=153
  match 147 seat1: winner=0 turns=9 selects=155
  match 148 seat0: winner=0 turns=11 selects=160
  match 148 seat1: winner=1 turns=12 selects=153
  match 149 seat0: winner=1 turns=10 selects=178
  match 149 seat1: winner=1 turns=12 selects=143
  match 150 seat0: winner=0 turns=11 selects=140
  match 150 seat1: winner=1 turns=10 selects=160
  match 151 seat0: winner=0 turns=11 selects=139
  match 151 seat1: winner=0 turns=9 selects=163
  match 152 seat0: winner=0 turns=11 selects=155
  match 152 seat1: winner=1 turns=10 selects=134
  match 153 seat0: winner=0 turns=11 selects=168
  match 153 seat1: winner=0 turns=9 selects=117
  match 154 seat0: winner=0 turns=11 selects=172
  match 154 seat1: winner=0 turns=9 selects=170
  match 155 seat0: winner=0 turns=11 selects=120
  match 155 seat1: winner=1 turns=8 selects=145
  match 156 seat0: winner=0 turns=9 selects=136
  match 156 seat1: winner=1 turns=10 selects=147
  match 157 seat0: winner=0 turns=11 selects=159
  match 157 seat1: winner=1 turns=12 selects=143
  match 158 seat0: winner=0 turns=9 selects=130
  match 158 seat1: winner=1 turns=12 selects=204
  match 159 seat0: winner=0 turns=11 selects=125
  match 159 seat1: winner=1 turns=10 selects=146
  match 160 seat0: winner=0 turns=11 selects=159
  match 160 seat1: winner=1 turns=10 selects=133
  match 161 seat0: winner=0 turns=11 selects=175
  match 161 seat1: winner=0 turns=9 selects=148
  match 162 seat0: winner=0 turns=11 selects=98
  match 162 seat1: winner=0 turns=7 selects=101
  match 163 seat0: winner=0 turns=11 selects=161
  match 163 seat1: winner=0 turns=11 selects=204
  match 164 seat0: winner=0 turns=11 selects=149
  match 164 seat1: winner=1 turns=12 selects=124
  match 165 seat0: winner=0 turns=11 selects=123
  match 165 seat1: winner=1 turns=12 selects=127
  match 166 seat0: winner=0 turns=9 selects=103
  match 166 seat1: winner=1 turns=10 selects=157
  match 167 seat0: winner=0 turns=11 selects=102
  match 167 seat1: winner=1 turns=10 selects=174
  match 168 seat0: winner=0 turns=11 selects=147
  match 168 seat1: winner=0 turns=7 selects=104
  match 169 seat0: winner=0 turns=13 selects=144
  match 169 seat1: winner=1 turns=12 selects=127
  match 170 seat0: winner=0 turns=9 selects=127
  match 170 seat1: winner=1 turns=10 selects=158
  match 171 seat0: winner=0 turns=9 selects=89
  match 171 seat1: winner=1 turns=10 selects=160
  match 172 seat0: winner=0 turns=9 selects=138
  match 172 seat1: winner=1 turns=8 selects=121
  match 173 seat0: winner=0 turns=9 selects=141
  match 173 seat1: winner=0 turns=9 selects=116
  match 174 seat0: winner=0 turns=11 selects=145
  match 174 seat1: winner=1 turns=8 selects=137
  match 175 seat0: winner=0 turns=9 selects=147
  match 175 seat1: winner=1 turns=10 selects=115
  match 176 seat0: winner=0 turns=7 selects=116
  match 176 seat1: winner=1 turns=10 selects=163
  match 177 seat0: winner=0 turns=9 selects=114
  match 177 seat1: winner=0 turns=9 selects=147
  match 178 seat0: winner=0 turns=11 selects=185
  match 178 seat1: winner=1 turns=10 selects=132
  match 179 seat0: winner=0 turns=11 selects=103
  match 179 seat1: winner=0 turns=9 selects=173
  match 180 seat0: winner=0 turns=11 selects=191
  match 180 seat1: winner=0 turns=9 selects=168
  match 181 seat0: winner=0 turns=11 selects=124
  match 181 seat1: winner=1 turns=10 selects=126
  match 182 seat0: winner=0 turns=9 selects=144
  match 182 seat1: winner=0 turns=11 selects=197
  match 183 seat0: winner=0 turns=11 selects=136
  match 183 seat1: winner=0 turns=9 selects=150
  match 184 seat0: winner=0 turns=9 selects=121
  match 184 seat1: winner=1 turns=12 selects=143
  match 185 seat0: winner=1 turns=6 selects=74
  match 185 seat1: winner=1 turns=10 selects=144
  match 186 seat0: winner=0 turns=9 selects=156
  match 186 seat1: winner=1 turns=10 selects=161
  match 187 seat0: winner=0 turns=9 selects=150
  match 187 seat1: winner=1 turns=12 selects=127
  match 188 seat0: winner=0 turns=11 selects=168
  match 188 seat1: winner=1 turns=12 selects=179
  match 189 seat0: winner=0 turns=9 selects=109
  match 189 seat1: winner=1 turns=10 selects=129
  match 190 seat0: winner=0 turns=11 selects=164
  match 190 seat1: winner=1 turns=12 selects=145
  match 191 seat0: winner=0 turns=11 selects=172
  match 191 seat1: winner=1 turns=10 selects=117
  match 192 seat0: winner=0 turns=13 selects=118
  match 192 seat1: winner=1 turns=10 selects=139
  match 193 seat0: winner=0 turns=9 selects=103
  match 193 seat1: winner=1 turns=14 selects=188
  match 194 seat0: winner=0 turns=9 selects=145
  match 194 seat1: winner=1 turns=10 selects=135
  match 195 seat0: winner=0 turns=13 selects=97
  match 195 seat1: winner=1 turns=12 selects=144
